Chromosome,cM,Position_bp,L,L0,LOD,X^2
chr01,0.0,330668,232.13998200806077,232.09467162455562,0.4722731887009998,0.36248306804122876
chr01,6.813443519055584,507204,228.55035421995998,228.36935828574008,1.8865328514871187,1.4479674737592632
chr01,13.849826493811467,616767,232.34431454633355,231.63460614537792,7.397338615089897,5.677667207645072
chr01,22.279394692914096,767672,235.39103620212603,235.3529520232878,0.39695396921426507,0.3046734307058614
chr01,30.01904516113331,881257,232.85017910813892,232.09467162455562,7.874705547764142,6.044059868666409
chr01,33.41017497807136,1001444,225.53163410068183,224.52971658839667,10.443053925784291,8.015340098281285
chr01,39.32337100275807,1203334,224.93328589561435,224.52971658839667,4.206430156563756,3.2285544577414385
chr01,44.65820645837664,1648833,237.17767500018246,235.3529520232878,19.019210876818242,14.5977838151573
chr01,53.94406374813128,2036829,232.729756302309,232.09467162455562,6.6195305061503795,5.080677422027065
chr01,57.07008159719798,2097688,233.11989128510623,232.09467162455562,10.685933791580604,8.201757284404948
chr01,60.34994572148864,2124190,233.01420950105248,232.09467162455562,9.584405415926893,7.356303011974887
chr01,63.86015865515107,2154055,231.5744172396637,231.5419481154054,0.3384278759424944,0.2597529940662753
chr01,67.3703715888135,2335415,232.984693356962,231.5419481154054,15.037831132804865,11.54196193245275
chr01,71.59999276388767,2531976,232.62870096724782,231.9361605820392,7.218395226990106,5.54032308166893
chr01,74.63122385470942,2720987,229.26952203112478,228.36713209628735,9.40567126139834,7.21911947869944
chr01,79.05601602393915,2950455,228.60216001780176,228.36713209628735,2.4497119057656294,1.8802233721153243
chr01,82.83139364934641,3198233,228.46439681882455,228.30041312236898,1.709213147826088,1.3118695716445927
chr01,90.73160610650882,3435191,228.82201725516228,228.30041312236898,5.436715118641467,4.172833062346399
chr01,102.72913958803836,3610153,232.39275557785675,232.09467162455562,3.1069491855021028,2.3846716264090446
chr01,107.90617353508038,3973888,235.57080175254694,235.3529520232878,2.2706624472327164,1.7427978340731443
chr01,124.49883807332631,4401863,232.73737264085673,232.09467162455562,6.698916117436493,5.14160813040894
chr01,127.64890016426055,4632430,232.17271714139022,232.09467162455562,0.8134736951653676,0.6243641346768527
chr01,133.0595793962722,4795494,236.95862596064106,235.3529520232878,16.736047937481317,12.845391498826075
chr01,138.26486991371868,5007948,237.7996678890372,235.3529520232878,25.50228478272256,19.573726925995288
chr01,150.60787381029496,5408064,234.57176116472078,232.09467162455562,25.818871643375893,19.816716321321337
chr01,153.88773793458563,5840005,231.17516571026601,228.63362321800835,26.490669117843375,20.332339938061295
chr01,159.77306255218423,6074641,235.4953206118522,231.87955880551635,37.68732960883669,28.926094450686833
chr01,165.6622143350034,6226027,239.69097759771608,235.3529520232878,45.21553366390533,34.70420459542629
chr01,174.45711869504913,6329343,228.2356839947217,226.4674012487387,18.43093053660367,14.14626196786412
