Chromosome,cM,Position_bp,L,L0,LOD,X^2
chr01,0.0,330668,255.01416437482303,254.67407233338653,3.544802326441931,2.720736331491935
chr01,6.813443519055584,507204,251.93057128700926,251.90139455339752,0.3041110657808989,0.2334138688938765
chr01,13.849826493811467,616767,256.0427459971751,256.0291638078933,0.14156807657349718,0.1086575142539914
chr01,22.279394692914096,767672,258.795861482901,258.78423480314143,0.12118566869838017,0.09301343807646845
chr01,30.01904516113331,881257,254.68973158787898,254.67407233338653,0.1632174676029316,0.12527403593958297
chr01,33.41017497807136,1001444,249.37115364208287,249.34192579452107,0.30464382993597006,0.23382278049439265
chr01,39.32337100275807,1203334,249.38982460359247,249.34192579452107,0.49925252326669706,0.38319047257118655
chr01,44.65820645837664,1648833,258.7842371633395,258.78423480314143,2.460050421913655e-05,1.8881584765040316e-05
chr01,53.94406374813128,2036829,255.3834482961989,254.67407233338653,7.393873589861283,5.675007702498988
chr01,57.07008159719798,2097688,255.46109185643394,254.67407233338653,8.203157664230813,6.296156184379242
chr01,60.34994572148864,2124190,255.17805814239657,254.67407233338653,5.253078139454478,4.031886472080259
chr01,63.86015865515107,2154055,255.27846366284953,254.71642898148954,5.8581254580695,4.496277450879916
chr01,67.3703715888135,2335415,254.88366542065174,254.71642898148954,1.7431167048309684,1.3378915132975635
chr01,71.59999276388767,2531976,255.40010375526114,255.33912768699003,0.6355576794792486,0.4878085461689352
chr01,74.63122385470942,2720987,252.20638573147562,252.11009237271202,1.00367218451911,0.7703468701088241
chr01,79.05601602393915,2950455,252.16760756760874,252.11009237271202,0.5994847624616867,0.4601215591737855
chr01,82.83139364934641,3198233,253.34296676344366,253.2770480288413,0.6870754246042791,0.5273498768187892
chr01,90.73160610650882,3435191,253.2948380006107,253.2770480288413,0.18542607774384665,0.1423197741551121
chr01,102.72913958803836,3610153,254.68654195363666,254.67407233338653,0.12997169438544967,0.09975696200103812
chr01,107.90617353508038,3973888,259.0744090398899,258.78423480314143,3.024505675448064,2.3213938939875334
chr01,124.49883807332631,4401863,254.67702256350947,254.67407233338653,0.030750447905642554,0.023601840983474176
chr01,127.64890016426055,4632430,254.68488615801633,254.67407233338653,0.11271322475972198,0.08651059703834107
chr01,133.0595793962722,4795494,258.8770816805132,258.78423480314143,0.967749276108031,0.7427750189740436
chr01,138.26486991371868,5007948,258.78443240367557,258.78423480314143,0.0020596037183156805,0.0015808042730895977
chr01,150.60787381029496,5408064,254.79515462627958,254.67407233338653,1.2620489198314755,0.9686583431443978
chr01,153.88773793458563,5840005,251.50893739311869,251.464912964208,0.4588695970764969,0.3521954312855087
chr01,159.77306255218423,6074641,255.57986970373508,255.57577472731003,0.04268221595816843,0.0327598114004104
chr01,165.6622143350034,6226027,259.2785670269733,258.78423480314143,5.152458168891374,3.954657790654892
chr01,174.45711869504913,6329343,249.11870758573968,249.11868642709217,0.00022053801262819194,0.00016926918010540248
chr01,180.91770526904943,6424775,249.13169135357293,249.11868642709217,0.13555122739564762,0.10403941184608811
chr01,184.367348843397,6512377,258.7847495069705,258.78423480314143,0.005364792786844465,0.004117630632663349
chr01,188.154647551295,6674047,257.48279353570297,257.4081229536133,0.7782965222889544,0.5973646567172182
chr01,192.23854910200836,6867277,253.31545391112002,253.2770480288413,0.4003071059104678,0.30724705822967735
chr01,196.74047445314477,6973492,254.76636731346383,254.67407233338653,0.961996813318589,0.7383598406183864
chr01,199.91029028108449,7101156,254.67463474469182,254.67407233338653,0.005862051034653222,0.004499290442254278
chr01,207.66035936646304,7361641,251.60947551158043,251.60215360276038,0.07631675034107366,0.05857527056036815
chr01,211.29832708058444,7544100,247.49867673942637,247.4980047123642,0.0070045834749164326,0.005376216497325004
chr01,214.42434492965114,7644378,242.3622374183744,242.22475189717863,1.4330208767259802,1.0998841695661667
chr01,223.54042276934888,7762656,245.3790226604602,245.36317488871993,0.16518239561441467,0.12678217392226543
chr01,228.28095049499348,7899854,250.8674669999616,250.78718902521783,0.8367427547902104,0.642223797950237
chr01,235.70195075090714,8141644,250.8085898016325,250.78718902521783,0.2230617385281784,0.17120621131743974
chr01,239.0925972682623,8415251,257.4411436094816,257.4081229536133,0.34417652717843,0.26416524694650434
chr01,252.29696221899198,8702551,255.4033612631279,255.33912768699003,0.6695109040701028,0.5138686091029285
chr01,255.94458506394025,8968190,252.81090886359988,252.618876549384,2.001565785865626,1.5362585137270344
chr01,263.2301756230099,9113675,248.929854303207,248.74581714725656,1.9182317110667566,1.472297247603592
chr01,266.86814333713136,9264698,250.73623524914046,250.32633724579972,4.272394583857087,3.279184026725943
chr01,271.61033686877636,9428307,255.2129207505137,254.280600170718,9.717640396082562,7.4585646383654876
chr01,275.3349124030198,9546613,253.97249908201806,253.2770480288413,7.248733315883259,5.5636084254140314
chr01,278.56017265389795,9647290,255.0923074865867,254.67407233338653,4.35929326014695,3.3458812256012607
chr01,282.7292531008505,9730453,256.4298355203042,256.0291638078933,4.176228330114557,3.2053736992870654
chr01,287.4201908617332,9915345,256.3043614806053,256.0291638078933,2.8684039365940497,2.2015813816956324
chr01,293.91636553047675,10103462,257.73133033547333,257.4081229536133,3.368812378852847,2.585659054880125
chr01,297.4265784641392,10275446,253.3025531137491,253.2770480288413,0.2658412232622692,0.20404067926233438
chr01,300.94546306153626,10440457,253.27788698695934,253.2770480288413,0.008744517149085581,0.006711664944305085
chr01,305.4940519718226,10562543,253.3751495769194,253.2770480288413,1.0225190639155568,0.784812384624729
chr01,309.31270091105137,10855827,254.6824918588864,254.67407233338653,0.08775728315614299,0.06735620399899744
chr01,322.2882606853056,11237445,254.71215204304198,254.67407233338653,0.39690738662014563,0.3046376772435906
chr01,327.20859851996784,11538521,254.93855528906795,254.8884995319017,0.5217345389951273,0.4004460573301003
chr01,333.3777948678152,11721663,250.95253364554654,250.82766468449162,1.3015176179313988,0.9989516884393197
chr01,336.8274384421628,11868199,247.27067660346043,247.16313196784813,1.120945003313223,0.8603570848983964
chr01,342.0033754589641,12082470,245.7582786495882,245.69772500055402,0.631154775231574,0.4844291922734101
chr01,346.2922364162441,12290492,253.28627935392353,253.2770480288413,0.09621872505277787,0.07385060065780635
chr01,350.7542264739668,12501022,250.54526118573364,250.54390490230423,0.014136633822867438,0.010850267435216665
chr01,354.8815183685495,12638901,249.11885081231728,249.11868642709217,0.001713398308068394,0.0013150818008398346
chr01,358.84380429251235,12891533,253.67280511387202,253.2770480288413,4.125002836870873,3.166056680245674
chr01,369.1810225182669,13165503,253.80717919463464,253.47236408583566,3.4898005010215893,2.6785208703918215
chr01,373.94653150848313,13281022,251.31490740386545,250.77932095394968,5.582453754733699,4.284691599326152
chr01,380.40711808248346,13375708,252.72003351965347,251.464912964208,13.082206352479515,10.04096444356378
chr01,383.4404395180033,13610164,257.45865767331475,255.57577472731003,19.62541616447005,15.063063568037705
chr01,391.37718833046335,13893024,259.1411538916142,256.0291638078933,32.43648290634254,24.895920669766838
chr01,396.83715292871295,14052682,254.15594410584873,252.1444440722573,20.966000758487148,16.092000268731454
chr01,401.4558189352637,14225157,256.1382541807292,254.88849953190163,13.026277145249761,9.99803719062038
chr01,412.2669743587455,14428566,256.1862381520593,254.88849953190163,13.526417320492929,10.38190896126116
chr01,422.0084156660629,14775669,251.61219039304345,250.75410957142515,8.943834380540086,6.864646572946413
chr01,449.989205062834,15185365,254.72697591156046,254.64709670079372,0.8325864109147042,0.639033686133871
chr02,0.0,397627,240.3572488216711,239.13233989079805,12.767308548292318,9.799271446984449
chr02,129.7627353478433,639209,246.10715733953805,243.00938604274634,32.28827952947804,24.782170374333646
chr02,141.26593505578248,890524,249.61109432335158,247.1631319678481,25.51527702964912,19.583698844027822
chr02,148.71771401380687,1029163,256.52171025530225,254.71642898148954,18.8165686920032,14.442250190501682
chr02,155.28451411686123,1107857,244.17104733526327,243.3302260171666,8.76393740918394,6.726570544773267
chr02,158.67564393379928,1188710,244.77136407063173,243.3302260171666,15.021079302736727,11.529104427720995
chr02,162.2183349459015,1278167,251.56769708015307,250.56366758696905,10.46506724539053,8.032235945472166
chr02,166.50667603377275,1374406,250.8198224773734,250.56366758696905,2.669919729963503,2.0492391232348837
chr02,170.28205365918,1480215,243.722429700555,242.57861441193623,11.922064035929099,9.150522308950258
chr02,174.01823096897684,1627863,244.1144664258889,242.57861441193623,16.008289312311454,12.28681611162142
chr02,177.94705255652727,1916420,248.07332498246734,246.67474694684316,14.577473361184136,11.188624284993466
chr02,188.90008145320715,2389894,247.29115048661674,246.67474694684316,6.424815742783198,4.931228318188687
chr02,193.3806893876915,2674129,250.40819485700615,250.1486922006183,2.7048137210033656,2.076021251102702
chr02,197.68798692335153,2816714,254.71851140112486,254.280600170718,4.564378342299847,3.5032898432548336
chr02,209.6855204048811,2963813,252.09447085661424,251.90139455339752,2.0124473537591463,1.5446104257337083
chr02,212.91244646175966,3194890,251.90730378210844,251.90139455339752,0.06159229011495829,0.04727382968735583
chr02,220.33344671767333,3589470,257.5432448646034,257.4081229536133,1.408384807853431,1.0809752879208645
chr02,233.10078130811556,3916526,257.5062788364753,257.4081229536133,1.0230853990392823,0.7852470628959054
chr02,237.21268621996416,4097944,259.2585757452623,258.78423480314143,4.944087688893261,3.7947275369670024
chr02,241.00120560118563,4243277,258.83808409527353,258.78423480314143,0.5612748102568075,0.4307943370567955
chr02,245.52040867459908,4520938,249.23913735919325,249.17316335633151,0.6876514894061148,0.527792022893891
chr02,248.82852936929422,4753340,230.7565695485122,230.5992669826857,1.6395752718642562,1.258420526612099
chr02,254.71768115211339,4857313,236.61674761988823,236.01358805321726,6.286772916296587,4.825276533367742
chr02,257.8436990011801,4978677,244.5996728526353,244.42382181945985,1.8329072002821327,1.406808265403697
chr02,261.0706250580586,5070639,240.61238695550975,240.55901062014595,0.5563451499051122,0.4270106829103497
chr02,264.19893564373615,5216270,243.15582900278005,243.14915037295268,0.06961180993690191,0.053429038619015046
chr02,270.61799397614647,5362609,249.85189428805538,249.79772134216606,0.5646482752362039,0.4333835671145607
chr02,275.98027049382637,5443505,249.9745827724298,249.79772134216606,1.843438637401583,1.4148914421100471
chr02,279.2071965507049,5746195,250.15819923526803,249.79772134216606,3.7572854357351244,2.8838231448157785
chr02,283.37191190096775,6057570,254.701359960116,254.67407233338653,0.28442077710831826,0.21830101383579859
chr02,289.4532863070526,6274186,250.58026703109527,250.563667586969,0.17301712768096955,0.13279555301028267
chr02,294.16753952650663,6721105,250.58365043287904,250.563667586969,0.20828255307498608,0.15986276728040139
chr02,300.6104638727631,7139803,252.8157616526958,252.79919054869123,0.17272173667765184,0.13256883203666803
