Chromosome,cM,Position_bp,L,L0,LOD,X^2
chr01,0.0,330668,229.61885886861748,228.79874288709146,8.548124287138027,6.560927852208124
chr01,6.813443519055584,507204,229.94027635912335,225.4873353245278,46.4133052695696,35.62352827676432
chr01,13.849826493811467,616767,229.07013070648685,229.0566224643534,0.14079732045038676,0.1080659370675221
chr01,22.279394692914096,767672,232.54926308560616,232.37696628151406,1.7958612304023402,1.3783744327367913
chr01,30.01904516113331,881257,231.57176232124957,228.79874288709146,28.90336892316818,22.18415547326481
chr01,33.41017497807136,1001444,223.21973798083468,222.88504561251818,3.4885211686796387,2.6775389465319677
chr01,39.32337100275807,1203334,222.96810805180905,222.88504561251818,0.8657654168987718,0.6644995143269625
chr01,44.65820645837664,1648833,233.06915423780956,232.37696628151406,7.21472183661658,5.537503650363988
chr01,53.94406374813128,2036829,231.06232324394762,228.79874288709146,23.593450999853296,18.108642854849222
chr01,57.07008159719798,2097688,229.1240516070511,228.79874288709146,3.3907147678433804,2.6024697596769784
chr01,60.34994572148864,2124190,229.4704614199764,228.79874288709146,7.001367653377839,5.373748263079506
chr01,63.86015865515107,2154055,231.9498625600484,229.05662246435338,30.156437001157855,23.14592076556005
chr01,67.3703715888135,2335415,229.7407787348191,229.05662246435338,7.131007032546361,5.473250163725652
chr01,71.59999276388767,2531976,231.2671826534216,229.16716734163603,21.888601483699425,16.80012249428455
chr01,74.63122385470942,2720987,227.99990829645745,225.41624609506087,26.929685692045005,20.669297611172624
chr01,79.05601602393915,2950455,229.84579705801664,225.41624609506087,46.16950897250226,35.43640770364618
chr01,82.83139364934641,3198233,227.74786249820036,226.62803402303578,11.67204785861065,8.958627801316652
chr01,90.73160610650882,3435191,226.88989567212394,226.62803402303578,2.729401661305773,2.0948931927052854
chr01,102.72913958803836,3610153,232.9276972540883,228.79874288709146,43.0363703428093,33.03163493597458
chr01,107.90617353508038,3973888,235.3931989900071,232.37696628151406,31.438397314431143,24.129861667944397
chr01,124.49883807332631,4401863,231.228878436856,228.79874288709146,25.32946702895199,19.441084398116345
chr01,127.64890016426055,4632430,228.81649020892337,228.79874288709146,0.1849815345637797,0.14197857465524066
chr01,133.0595793962722,4795494,232.38884911196809,232.37696628151406,0.12385554469382296,0.09506264363221817
chr01,138.26486991371868,5007948,232.37884590132722,232.37696628151406,0.019591404310424228,0.015036958505334042
chr01,150.60787381029496,5408064,228.85855178501825,228.79874288709146,0.6233921841196286,0.4784711834142854
chr01,153.88773793458563,5840005,225.47978871355735,225.43805167260257,0.435027997863203,0.3338963276382856
chr01,159.77306255218423,6074641,229.4180733960729,229.0234676420694,4.113002435784031,3.15684603202817
chr01,165.6622143350034,6226027,232.6492815506802,232.37696628151406,2.8383604496845063,2.1785221533291406
chr01,174.45711869504913,6329343,223.52536086747355,223.29051283595396,2.447836900195173,1.87878425215672
chr01,180.91770526904943,6424775,226.0896521240217,223.29051283595396,29.17561792527409,22.393114304541996
chr01,184.367348843397,6512377,232.492220645422,232.37696628151406,1.201304022251819,0.9220349112636086
chr01,188.154647551295,6674047,233.44297292122297,230.23201834601824,33.46799648768202,25.687636601637905
chr01,192.23854910200836,6867277,228.81044191757496,226.62803402303578,22.747384940651052,17.459263156313455
