Chromosome,cM,Position_bp,L,L0,LOD,X^2
chr01,0.0,330668,436.3606515835981,436.35276002822087,0.08225421489513349,0.06313244301782106
chr01,6.813443519055584,507204,429.7239989084212,429.53300584430826,1.990733611825103,1.5279445129035594
chr01,13.849826493811467,616767,436.5336892242974,436.35276002822087,1.8858372353095203,1.4474335686122686
chr01,22.279394692914096,767672,443.2942068936605,443.17976085166583,1.1928788283347056,0.9155683359572322
chr01,30.01904516113331,881257,436.39335323162106,436.35276002822087,0.42310570174751416,0.324745627201537
chr01,33.41017497807136,1001444,425.5323268973772,425.3635519487895,1.759152692523101,1.3501995887013436
chr01,39.32337100275807,1203334,425.43444571378296,425.3635519487895,0.738930502512102,0.5671501199476552
chr01,44.65820645837664,1648833,443.58815634591554,443.17976085166583,4.256733830083133,3.267163953997624
chr01,53.94406374813128,2036829,436.40268210833784,436.35276002822087,0.5203412140783843,0.3993766409357704
chr01,57.07008159719798,2097688,436.3975975263147,436.35276002822087,0.46734427210806595,0.3586999847507286
chr01,60.34994572148864,2124190,436.3991251582084,436.35276002822087,0.4832668825513761,0.37092103990016767
chr01,63.86015865515107,2154055,439.08353478024515,439.07575044956457,0.08113660463725475,0.06227464544463146
chr01,67.3703715888135,2335415,439.2065490176607,439.07575044956457,1.3633223127597056,1.046388544768888
chr01,71.59999276388767,2531976,436.38847077570074,436.35276002822087,0.37221553380353245,0.28568597983894506
chr01,74.63122385470942,2720987,432.2454108146669,432.2159745960632,0.3068156953847956,0.2354897488298775
chr01,79.05601602393915,2950455,432.38112983965743,432.2159745960632,1.721424262808949,1.32124194875405
chr01,82.83139364934641,3198233,429.54376763999846,429.53300584430815,0.11217092360816666,0.08609436552251282
chr01,90.73160610650882,3435191,429.5881425150278,429.53300584430815,0.5746932442575803,0.44109336575729685
chr01,102.72913958803836,3610153,436.6947665797147,436.35276002822087,3.564757394124975,2.7360524119508227
chr01,107.90617353508038,3973888,443.4865277696469,443.17976085166583,3.1974523130314556,2.4541353438485203
chr01,124.49883807332631,4401863,436.53237372599796,436.35276002822087,1.8721257076518403,1.4369095822166855
chr01,127.64890016426055,4632430,436.58917402388494,436.35276002822087,2.4641590502784716,1.891311965312525
chr01,133.0595793962722,4795494,443.2022848617486,443.17976085166583,0.23476927894249314,0.1801920806619819
chr01,138.26486991371868,5007948,443.2129104650982,443.17976085166583,0.34552066058186404,0.2651969074590852
chr01,150.60787381029496,5408064,436.47221917209094,436.35276002822087,1.245130727895836,0.9556731509605925
chr01,153.88773793458563,5840005,429.56607493337657,429.5330058443082,0.34468134969496955,0.2645527125469016
chr01,159.77306255218423,6074641,436.37255737485253,436.35276002822076,0.20634908156415233,0.1583787730542099
chr01,165.6622143350034,6226027,443.23461904211524,443.17976085166583,0.5717906255850191,0.4388655235952683
chr01,174.45711869504913,6329343,422.72074565141617,422.72060487605575,0.001467311093253162,0.0011262028833698423
chr01,180.91770526904943,6424775,422.7480765476183,422.72060487605575,0.2863390888388876,0.2197733725006401
chr01,184.367348843397,6512377,443.2103034746482,443.17976085166583,0.3183478229780905,0.24434098385881953
chr01,188.154647551295,6674047,436.3901720370928,436.35276002822087,0.3899478962396746,0.2992960709752879
chr01,192.23854910200836,6867277,429.57582391533066,429.53300584430815,0.44629564729961485,0.34254456818007384
chr01,196.74047445314477,6973492,436.6307936128067,436.35276002822087,2.8979628376658892,2.2242686766867337
chr01,199.91029028108449,7101156,437.29970978291476,436.35276002822087,9.87012127447666,7.575598037551117
chr01,207.66035936646304,7361641,433.4970321588387,432.2159745960632,13.35254953233204,10.248460502204125
chr01,211.29832708058444,7544100,426.0379584879682,425.36355194878945,7.02938492459503,5.395252313429864
chr01,214.42434492965114,7644378,411.9517562841556,411.68120862903334,2.819936489074902,2.1643812409779457
chr01,223.54042276934888,7762656,416.15419004753574,415.91566688132997,2.4861430773421556,1.9081853296461304
chr01,228.28095049499348,7899854,426.70767447269947,425.3635519487894,14.009879883264393,10.752980191280585
chr01,235.70195075090714,8141644,426.8128395934682,425.3635519487894,15.106023042589571,11.594301157430436
chr01,239.0925972682623,8415251,436.35398177314795,436.35276002822087,0.012734329922971637,0.00977395941663417
chr01,252.29696221899198,8702551,436.3938804663359,436.35276002822087,0.42860110480294267,0.3289635049200115
chr01,255.94458506394025,8968190,429.54874009304376,429.53300584430815,0.16399913766646612,0.1258739898848944
chr01,263.2301756230099,9113675,422.7499531421919,422.7206048760557,0.30589896087307533,0.23478612908957075
chr01,266.86814333713136,9264698,477.7330631214271,425.36355194878945,545.8509533339335,418.95608938110126
chr01,271.61033686877636,9428307,432.3428242893276,432.2159745960632,1.322162923580715,1.0147975461154601
chr01,275.3349124030198,9546613,429.85224356144295,429.53300584430815,3.327436295208805,2.5539017370783768
chr01,278.56017265389795,9647290,436.67264916196433,436.35276002822087,3.334226054534291,2.5591130699476707
chr01,282.7292531008505,9730453,436.39545999924894,436.35276002822087,0.44506468307808,0.34159976822456883
chr01,287.4201908617332,9915345,436.4972582066628,436.35276002822087,1.506114277017844,1.1559854275355974
chr01,293.91636553047675,10103462,436.3794670776432,436.35276002822087,0.2783693806088233,0.2136563953786208
chr01,297.4265784641392,10275446,429.53968196329936,429.53300584430815,0.06958563932187324,0.05340895192966855
chr01,300.94546306153626,10440457,429.5479610145853,429.53300584430815,0.15587875025522513,0.11964136221740773
chr01,305.4940519718226,10562543,429.5750723537035,429.53300584430815,0.43846206967986207,0.3365320751627223
chr01,309.31270091105137,10855827,436.7440353051599,436.35276002822087,4.07828864831501,3.130202215512327
chr01,322.2882606853056,11237445,436.50077147272833,436.35276002822087,1.542733286594867,1.184091556059684
chr01,327.20859851996784,11538521,436.7145220044976,436.3527600282208,3.77066952142626,2.894095810214367
chr01,333.3777948678152,11721663,429.87301539844907,429.53300584430815,3.5439425557868764,2.7200764331273604
chr01,336.8274384421628,11868199,423.09025479560336,422.72060487605575,3.852886087092214,2.9571993563808974
chr01,342.0033754589641,12082470,415.9403512466088,415.91566688132997,0.25728680711741847,0.19747492223086738
chr01,346.2922364162441,12290492,429.590500992807,429.53300584430815,0.5992758175021501,0.459961187990757
chr01,350.7542264739668,12501022,429.57029694888035,429.5330058443082,0.3886877025542642,0.2983288365771841
chr01,354.8815183685495,12638901,422.7236064992759,422.72060487605575,0.03128612163026173,0.02401298576114641
chr01,358.84380429251235,12891533,429.5569882179601,429.53300584430815,0.24996990095972738,0.19185898921568878
chr01,369.1810225182669,13165503,429.53471257365777,429.53300584430826,0.01778935532624179,0.013653834796059527
chr01,373.94653150848313,13281022,429.7508892914289,429.5330058443082,2.2710138907818775,1.7430675769655863
chr01,380.40711808248346,13375708,494.0841193289281,432.21597459606323,644.8558527137989,494.94515786291913
chr01,383.4404395180033,13610164,439.2843197206257,439.07575044956445,2.173931604395781,1.6685541684901182
chr01,391.37718833046335,13893024,436.38082472242866,436.35276002822087,0.29252020393783756,0.224517553662281
chr01,396.83715292871295,14052682,429.5370482877454,429.53300584430815,0.04213466107681122,0.03233954749794066
chr01,401.4558189352637,14225157,436.40402339753456,436.35276002822076,0.5343215620020582,0.410106954510411
chr01,412.2669743587455,14428566,436.6601689630676,436.35276002822076,3.2041440982015157,2.4592714787745535
chr01,422.0084156660629,14775669,429.76460346485555,429.53300584430815,2.4139576470158612,1.8527809643792352
chr01,449.989205062834,15185365,436.71178238386875,436.35276002822076,3.742114270507935,2.872178845183953
chr02,0.0,397627,409.11912345878864,409.11830494438294,0.00853143095402733,0.006548115245550434
chr02,129.7627353478433,639209,416.42492976953025,415.91566688133,5.308081492403298,4.074103105601807
chr02,141.26593505578248,890524,423.5819152006185,422.72060487605575,8.977495707933494,6.890482596501897
chr02,148.71771401380687,1029163,436.677515565611,436.35276002822076,3.384948908546317,2.5980442991217387
chr02,155.28451411686123,1107857,418.7682086731946,418.6856812297467,0.8601891190798527,0.6602195475829831
chr02,158.67564393379928,1188710,418.68758142262504,418.6856812297467,0.019805838758739324,0.015201543026705622
chr02,162.2183349459015,1278167,429.56704195516915,429.53300584430815,0.35476068317706383,0.2722888868879636
chr02,166.50667603377275,1374406,429.5602321175586,429.53300584430815,0.2837812856510394,0.21781018600358948
chr02,170.28205365918,1480215,415.95447394256934,415.91566688133,0.40448862132274166,0.31045648991448616
chr02,174.01823096897684,1627863,415.9588234423979,415.91566688133,0.44982375191261914,0.34525248854288293
chr02,177.94705255652727,1916420,422.7684344358928,422.72060487605575,0.49853073381826574,0.38263647869644046
chr02,188.90008145320715,2389894,422.7828955109811,422.72060487605575,0.6492594965361717,0.49832507940300275
chr02,193.3806893876915,2674129,488.1399392170969,425.36355194878945,654.3225260267396,502.2110981464598
chr02,197.68798692335153,2816714,432.394829514509,432.2159745960632,1.864216899414786,1.430839347566689
chr02,209.6855204048811,2963813,429.5672729507319,429.53300584430826,0.35716836553359693,0.27413685138890287
chr02,212.91244646175966,3194890,429.874682920356,429.53300584430826,3.561323249288959,2.733416608381958
chr02,220.33344671767333,3589470,437.6012252687568,436.35276002822087,13.012837555506694,9.987721924287598
chr02,233.10078130811556,3916526,438.8891093655766,436.35276002822087,26.436540513421363,20.29079469884573
chr02,237.21268621996416,4097944,446.42518721261956,443.17976085166583,33.82729823965333,25.963410887629834
chr02,241.00120560118563,4243277,443.6763831925684,443.17976085166583,5.176328213852446,3.9729787272203794
chr02,245.52040867459908,4520938,423.5917149612915,422.72060487605575,9.079639275555548,6.968880681885821
chr02,248.82852936929422,4753340,394.4372489758187,394.324864892012,1.171386898824232,0.8990726704537337
chr02,254.71768115211339,4857313,410.3749931685604,408.0476100067033,24.25847194725839,18.619065294857137
chr02,257.8436990011801,4978677,416.8923589382258,415.91566688133,10.18012729988584,7.813536455166286
chr02,261.0706250580586,5070639,410.3029842664305,409.118304944383,12.34799261736261,9.477434576379892
chr02,264.19893564373615,5216270,410.99289548413634,409.11830494438294,19.538983853830548,14.99672431802719
chr02,270.61799397614647,5362609,424.65834364786014,422.7206048760558,20.19718214315056,15.50191017443467
chr02,275.98027049382637,5443505,423.9487555244318,422.7206048760558,12.801097188854504,9.825205187008123
chr02,279.2071965507049,5746195,423.63825394502726,422.7206048760558,9.564718247471045,7.341192551771655
chr02,283.37191190096775,6057570,437.34511562124396,436.35276002822087,10.343389395258189,7.938844744184735
chr02,289.4532863070526,6274186,430.70116242650164,429.53300584430826,12.175774983493096,9.345252657547007
chr02,294.16753952650663,6721105,430.03113434752476,429.53300584430826,5.192027045415568,3.9850280257319355
chr02,300.6104638727631,7139803,432.8429765755526,432.21597459606323,6.535283996031522,5.016015835914914
chr02,306.86862102046337,7351837,426.03635254355845,425.36355194878945,7.012646057505668,5.382404758152006
chr02,310.122876949572,7561355,437.3568515156568,436.35276002822087,10.465713415666704,8.032731899487317
chr02,313.4574456745056,7905741,436.47137753688844,436.35276002822087,1.236358307314472,0.9489400693405514
chr02,317.84133675114515,8170986,414.9624004341417,414.55456474271506,4.2508989674351945,3.2626855314133536
chr02,321.9252383018585,8234803,414.99080884514945,414.55456474271506,4.547001754802185,3.489952819475093
chr02,325.5016106894344,8274366,443.5409161777511,443.17976085166583,3.7643463654913756,2.8892426086822525
chr02,329.41549554047816,8454515,432.37233806124715,432.21597459606323,1.6297869624154944,1.2509077214713216
chr02,341.00557624334436,8658299,425.5293533164562,425.3635519487895,1.728158857671719,1.3264109413335063
chr02,346.67201050869454,8925100,429.5730416163086,429.5330058443082,0.4172955566043347,0.3202861760032647
chr02,366.9452659141028,9384294,443.7052212014288,443.17976085166583,5.476908728664211,4.203682798103728
chr02,395.88549434341735,9642670,436.7035333219548,436.35276002822087,3.656133740824256,2.8061863498714956
chr02,403.17108490248705,9735616,436.45070283666666,436.35276002822087,1.020864510002769,0.7835424675663489
chr02,416.2073980256497,10064214,443.5769522463081,443.17976085166583,4.139952742862349,3.177531157138219
chr02,425.91519874769756,10361942,430.3057729636522,429.53300584430815,8.05460389745745,6.182136954752423
chr02,442.38915880420967,10398531,423.06493418006403,422.7206048760558,3.5889676005206423,2.7546344320658136
chr02,445.7237275291433,10495433,429.5732034266471,429.5330058443082,0.41898211669546276,0.32158065871135477
chr02,450.90076147618527,10637429,416.12245600134503,415.91566688133,2.1553769697634815,1.6543129601200235
chr02,456.07779542322726,10704330,422.7709048498558,422.7206048760557,0.5242800254705089,0.4023997904009775
chr02,462.20791152784386,10795556,436.3632903549289,436.35276002822076,0.10975830676755893,0.0842426136650829
chr02,466.9125747545428,10887329,436.38667475119735,436.35276002822076,0.35349544905625035,0.2713177838127194
chr02,470.8361555266176,10999313,443.21216958054,443.17976085166583,0.3377983707729569,0.25926983099316203
chr02,484.24935485635154,11260162,443.5205421672612,443.17976085166583,3.5519866775714357,2.7262505247631452
chr02,488.2861282739734,11452985,443.6047815383873,443.17976085166583,4.430019334508437,3.4001654937715102
chr02,495.07620533192653,11678286,439.4420281920285,439.2428209939792,2.076350084837196,1.5936575843943501
chr02,499.8592612603822,12043566,429.5740981498172,428.32391848886755,13.030707075314574,10.001437287597128
chr02,503.3119864038658,12310667,428.9589713910404,428.3239184888675,6.619199307128083,5.080423217383213
chr03,0.0,229677,418.5318274606105,418.51859226518064,0.1379513362102054,0.10588156343874289
chr03,3.7053986076860923,343180,422.7521752174555,422.72060487605575,0.3290598014810396,0.2525627311979406
chr03,6.932324664564652,400958,429.5693300847853,429.53300584430815,0.37861001276519524,0.29059392381714133
chr03,10.381968238912224,496074,416.20818407372633,415.9156668813299,3.0489264604702995,2.3401375391713373
chr03,18.241247415032845,734009,422.764700204751,422.7206048760558,0.4596085903210684,0.3527626295617665
chr03,29.526138970998176,1032158,436.5047574779008,436.35276002822087,1.5842796878246066,1.2159795974394
