Chromosome,cM,Position_bp,L,L0,LOD,X^2
chr01,0.0,330668,295.3947123471732,294.44152104171854,9.935177379770696,7.625530443637217
chr01,6.813443519055584,507204,291.65437252395895,290.58130161279126,11.184690609864536,8.584567289341521
chr01,13.849826493811467,616767,295.5051993912546,295.1019774098379,4.202809956273056,3.225775851333765
chr01,22.279394692914096,767672,299.18032874358306,298.943085343482,2.472803988764733,1.8979472008086304
chr01,30.01904516113331,881257,294.961057728913,294.44152104171854,5.415165993476099,4.156293497555453
chr01,33.41017497807136,1001444,285.595196065016,285.2591122763202,3.5030240373055586,2.6886703095665325
chr01,39.32337100275807,1203334,285.6032604606225,285.2591122763202,3.587079777588276,2.7531854744183875
chr01,44.65820645837664,1648833,298.9432351447303,298.943085343482,0.0015613885325845406,0.0011984099865003373
chr01,53.94406374813128,2036829,294.4549444311141,294.44152104171854,0.13991289463013112,0.10738711516432886
chr01,57.07008159719798,2097688,294.44160813527185,294.44152104171854,0.0009077819906265854,0.0006967484264350787
chr01,60.34994572148864,2124190,294.4716327029249,294.44152104171854,0.31385587926886904,0.2408932896510123
chr01,63.86015865515107,2154055,295.67301550852085,295.60868876117536,0.6704820338623411,0.5146139787639186
chr01,67.3703715888135,2335415,295.87664969184164,295.60868876117536,2.7929748852965735,2.1436874453302153
chr01,71.59999276388767,2531976,294.42025103263654,294.1235764226085,3.092259505343538,2.3733968802243908
chr01,74.63122385470942,2720987,289.75384895542004,289.3171663008644,4.551572813192925,3.4934612364450004
chr01,79.05601602393915,2950455,290.16561985307806,289.3171663008644,8.843488701062324,6.787628417709129
chr01,82.83139364934641,3198233,291.05797111786114,289.74199083457177,13.716551407825312,10.52784226631502
chr01,90.73160610650882,3435191,290.87840049716823,289.74199083457177,11.844874695532328,9.091277300771708
chr01,102.72913958803836,3610153,294.44885255337454,294.44152104171854,0.07641684134895144,0.05865209324792886
chr01,107.90617353508038,3973888,300.0058766221803,298.943085343482,11.077545306086177,8.502330229586732
chr01,124.49883807332631,4401863,295.1334071716604,294.44152104171854,7.211575880139395,5.535089039534796
chr01,127.64890016426055,4632430,294.45296902185055,294.44152104171854,0.11932307040642204,0.09158384105603545
chr01,133.0595793962722,4795494,299.2062366600104,298.943085343482,2.74284395217287,2.1052105322273746
chr01,138.26486991371868,5007948,299.10256369397104,298.943085343482,1.6622536224102822,1.2758268039124232
chr01,150.60787381029496,5408064,294.6866659817314,294.44152104171854,2.5551622731378743,1.961159520102683
chr01,153.88773793458563,5840005,290.00195735034526,289.7419908345718,2.7096485587204935,2.079732126187537
chr01,159.77306255218423,6074641,294.2888463299871,294.235707089545,0.553873893517188,0.4251139235370829
chr01,165.6622143350034,6226027,299.09535049742817,298.943085343482,1.5870699874794965,1.218121231569512
chr01,174.45711869504913,6329343,285.1355301996262,284.9280168199414,2.162925977237146,1.6601070374786104
chr01,180.91770526904943,6424775,285.2811396778065,284.9280168199414,3.680623406513435,2.8249828629209333
chr01,184.367348843397,6512377,299.33238936750445,298.943085343482,4.057742145976501,3.11443219217972
chr01,188.154647551295,6674047,294.657179408773,294.23570708954503,4.393034460376192,3.3717785538237877
chr01,192.23854910200836,6867277,290.27893008796025,289.74199083457177,5.596554116732872,4.295514027107856
chr01,196.74047445314477,6973492,294.90360378450043,294.44152104171854,4.816319648949448,3.696661942255105
chr01,199.91029028108449,7101156,294.89169276508096,294.44152104171854,4.69217028876419,3.6013737868993303
chr01,207.66035936646304,7361641,290.3101922033181,289.93742020901124,3.8854276832527965,2.9821759544547604
chr01,211.29832708058444,7544100,285.98444104746375,285.45361185704985,5.532868517518223,4.246633523311175
chr01,214.42434492965114,7644378,276.75842015994317,275.9570384861246,8.352855332107247,6.411053390548659
chr01,223.54042276934888,7762656,281.2243402230723,280.75031204490864,4.940827729035287,3.792225425309425
chr01,228.28095049499348,7899854,285.3648787267863,284.62109846552994,7.752471917092574,5.950242090050779
chr01,235.70195075090714,8141644,285.77276668026394,284.62109846552994,12.003915615416314,9.213345717872016
chr01,239.0925972682623,8415251,295.1917653237672,294.23570708954503,9.965059572020365,7.648465873777241
chr01,252.29696221899198,8702551,295.2025384742964,294.1235764226085,11.246094365545392,8.63169641350305
chr01,255.94458506394025,8968190,291.80106934946315,290.2784948189509,15.869897205309798,12.18059624409807
chr01,263.2301756230099,9113675,286.41240191313494,285.4624800436039,9.901099828237518,7.599374956248539
chr01,266.86814333713136,9264698,285.09742254403477,284.62109846552994,4.964758053415187,3.8105926280386484
chr01,271.61033686877636,9428307,289.98168521362504,289.4293508467144,5.75701842515578,4.418674935285253
chr01,275.3349124030198,9546613,290.43243057276663,289.74199083457177,7.196500041234172,5.523517905558947
chr01,278.56017265389795,9647290,295.0536671294161,294.44152104171854,6.380440032137223,4.89716870158054
chr01,282.7292531008505,9730453,295.8901438460747,295.1019774098379,8.215112017895766,6.305331489894343
chr01,287.4201908617332,9915345,296.28384107428803,295.1019774098379,12.318644827983587,9.454909315601071
chr01,293.91636553047675,10103462,294.4176720243815,294.23570708954503,1.8966328103846022,1.4557194786916625
chr01,297.4265784641392,10275446,290.0395992018595,289.74199083457177,3.101992120351353,2.380866938302006
chr01,300.94546306153626,10440457,289.9218530725418,289.74199083457177,1.874716258875809,1.4388979037603349
