Chromosome,cM,Position_bp,L,L0,LOD,X^2
chr01,0.0,330668,156.53059768022004,156.5196311477417,0.1143049089828885,0.08773225982668009
chr01,6.813443519055584,507204,153.92531495482442,153.78743381481743,1.4371444383254888,1.1030491200558572
chr01,13.849826493811467,616767,156.48311438592953,156.38509645396078,1.02164752755822,0.7841434557499269
chr01,22.279394692914096,767672,159.29738522700538,159.12263627179811,1.8214201671569548,1.397991641658109
chr01,30.01904516113331,881257,157.09029206263824,156.5196311477417,5.9480372730582385,4.565287319172285
chr01,33.41017497807136,1001444,152.47476583729184,151.5518510798588,9.619602874085876,7.383318059464273
chr01,39.32337100275807,1203334,151.7569348327319,151.5518510798588,2.137601812819075,1.6406700229847502
chr01,44.65820645837664,1648833,159.49642617817273,159.12263627179811,3.8960374495110432,2.9903192509968903
chr01,53.94406374813128,2036829,156.56806427834798,156.5196311477417,0.504821792726461,0.38746504485015976
chr01,57.07008159719798,2097688,156.65389224304474,156.5196311477417,1.3994124677854378,1.0740887624242532
chr01,60.34994572148864,2124190,156.66907882190705,156.5196311477417,1.5577032053588207,1.1955813933227546
chr01,63.86015865515107,2154055,159.46851873321918,159.18224432358198,2.9838575139731414,2.2901952770976095
chr01,67.3703715888135,2335415,159.55282153987582,159.18224432358198,3.8625513637315674,2.96461773035071
chr01,71.59999276388767,2531976,157.56425898635854,157.47302155724216,0.950973888198746,0.7298994329310062
chr01,74.63122385470942,2720987,155.34598218394385,154.97123233076047,3.9060430399582353,2.9979988254669934
chr01,79.05601602393915,2950455,155.1112892710704,154.97123233076047,1.4598229518925636,1.1204555224794603
chr01,82.83139364934641,3198233,154.19659527397448,154.0448029899155,1.5821412326953916,1.2143382724718776
chr01,90.73160610650882,3435191,154.07488984130765,154.0448029899155,0.31359728489895355,0.24069481113724578
chr01,102.72913958803836,3610153,156.54403483775695,156.5196311477417,0.2543613098807926,0.19522952012198402
chr01,107.90617353508038,3973888,159.12442201646522,159.12263627179811,0.018612937320263995,0.01428595733682414
chr01,124.49883807332631,4401863,156.52176350958857,156.5196311477417,0.022225751604310243,0.017058894774891087
chr01,127.64890016426055,4632430,156.73782008617087,156.5196311477417,2.274198047330754,1.7455115074333207
chr01,133.0595793962722,4795494,159.17365147383558,159.12263627179811,0.5317348977131816,0.40812161629969523
chr01,138.26486991371868,5007948,159.49152569533476,159.12263627179811,3.844959385786458,2.9511153882931467
chr01,150.60787381029496,5408064,156.76166759295285,156.5196311477417,2.522762221792259,1.9362915616891314
chr01,153.88773793458563,5840005,154.1937012828133,153.99204095497805,2.101919222343512,1.6132826226819361
chr01,159.77306255218423,6074641,156.6795314491478,156.58719455778507,0.9624336574783043,0.7386951309017604
chr01,165.6622143350034,6226027,159.14085620835317,159.12263627179811,0.1899076297557153,0.1457594924404475
chr01,174.45711869504913,6329343,151.39204521131578,151.34448436733106,0.495729890333327,0.3804867518776973
chr01,180.91770526904943,6424775,151.51480975746034,151.34448436733106,1.7753130494679397,1.3626031210342262
chr01,184.367348843397,6512377,159.2959512044232,159.12263627179811,1.8064732528922463,1.3865194610007165
chr01,188.154647551295,6674047,156.80986193379815,156.63991634398297,1.7713543651325352,1.3595647185213693
chr01,192.23854910200836,6867277,154.16594363389896,154.0448029899155,1.2626571171894168,0.9691251518677291
chr01,196.74047445314477,6973492,156.52250611138416,156.5196311477417,0.029965940294176173,0.02299970913963989
chr01,199.91029028108449,7101156,156.51969016014567,156.5196311477417,0.0006150902737518278,0.0004720992317288619
chr01,207.66035936646304,7361641,154.4579557056755,154.16626411486834,3.0403211593230095,2.333532726457179
chr01,211.29832708058444,7544100,151.871009044708,151.57921630442476,3.041375447146427,2.3343419222658213
chr01,214.42434492965114,7644378,146.8118857802814,146.5976678484039,2.232807977738991,1.7137434550199941
chr01,223.54042276934888,7762656,149.31147469619242,149.04482595263613,2.7792978703903533,2.1331899484503083
chr01,228.28095049499348,7899854,152.5976675631639,152.47848257003534,1.2422732361938127,0.9534799450284481
chr01,235.70195075090714,8141644,152.57376615668542,152.47848257003534,0.9931472615539578,0.7622686932006673
chr01,239.0925972682623,8415251,156.99099644424246,156.63991634398297,3.6593316059695846,2.8086408020758427
chr01,252.29696221899198,8702551,157.6099339451276,157.47302155724216,1.4270470695083157,1.095299103083562
chr01,255.94458506394025,8968190,154.8890135191437,154.72702624668605,1.6884042856059942,1.295898179661208
chr01,263.2301756230099,9113675,152.18755560090636,152.15443470308279,0.3452213558510859,0.2649671825886344
chr01,266.86814333713136,9264698,151.82984157011484,151.6237413227619,2.1481968034626053,1.6488019788234851
chr01,271.61033686877636,9428307,154.2657690311082,154.16626411486837,1.037146465084811,0.7960393299185853
chr01,275.3349124030198,9546613,154.06112995381025,154.0448029899155,0.17017704781742155,0.13061571115804327
chr01,278.56017265389795,9647290,156.73192389633294,156.5196311477417,2.2127416622699805,1.6983419887299078
chr01,282.7292531008505,9730453,156.7907360262263,156.38509645396078,4.228008669036342,3.2451165781242253
chr01,287.4201908617332,9915345,156.79342377303473,156.38509645396078,4.256023235619932,3.2666185525915807
chr01,293.91636553047675,10103462,156.72288295507107,156.63991634398297,0.8647665930665622,0.6637328887047715
chr01,297.4265784641392,10275446,154.15994713552507,154.0448029899155,1.2001552094808892,0.921153164876614
chr01,300.94546306153626,10440457,154.4590279104499,154.0448029899155,4.317494334117611,3.3137993642751553
chr01,305.4940519718226,10562543,154.4823073490658,154.0448029899155,4.5601374957022065,3.5000348732023667
chr01,309.31270091105137,10855827,157.0226632750132,156.5196311477417,5.243137850257556,4.024257018171966
chr01,322.2882606853056,11237445,157.72307417405466,156.5196311477417,12.543567974703976,9.627544210503629
chr01,327.20859851996784,11538521,158.18380093929636,156.56314067296037,16.892251457029786,12.96528213068791
chr01,333.3777948678152,11721663,154.64499226391254,153.85229173554998,8.262371166471636,6.341604226900472
chr01,336.8274384421628,11868199,152.46076190454792,152.13997027233512,3.343632857058185,2.5663330577024226
chr01,342.0033754589641,12082470,149.82129245691056,149.6472520111939,1.8140353248654295,1.3923235657332498
chr01,346.2922364162441,12290492,154.96639932391287,154.0448029899155,9.605860857535788,7.372770671978969
chr01,350.7542264739668,12501022,154.72751414098786,153.81854356002475,9.474261780592162,7.271764647704913
chr01,354.8815183685495,12638901,152.21762560521802,151.34448436733106,9.100810116875497,6.98512990309564
chr01,358.84380429251235,12891533,155.36714018436487,154.0448029899155,13.782809922354978,10.578697555595
chr01,369.1810225182669,13165503,155.73097101956859,154.08881153073537,17.11633930572792,13.137275910665721
chr01,373.94653150848313,13281022,154.96935970730652,153.96794433595372,10.437820076918864,8.011322970822448
chr01,380.40711808248346,13375708,154.46456720385842,154.04480298991547,4.3752307635811505,3.3581137115436377
chr01,383.4404395180033,13610164,156.84274012597365,156.63991634398303,2.114045983614551,1.6225902559249334
chr01,391.37718833046335,13893024,156.61626091924245,156.38509645396078,2.409442840414634,1.8493157222533227
chr01,396.83715292871295,14052682,153.87632981516742,153.68762778145523,1.9668540471630083,1.509616269697517
chr01,401.4558189352637,14225157,156.8179430260598,156.41854592008536,4.162943021107754,3.1951768477954374
chr01,412.2669743587455,14428566,157.00140253072212,156.41854592008536,6.075153833768978,4.662852885094026
chr01,422.0084156660629,14775669,153.7399856750326,153.7216317649871,0.19130404449867577,0.14683128036404014
chr01,449.989205062834,15185365,156.59420422447644,156.41854592008534,1.8308983751409422,1.4052664351288513
chr02,0.0,397627,147.00818560180096,146.99132489233185,0.17574031400184278,0.134885675752912
chr02,129.7627353478433,639209,149.54718647824143,149.5462657488661,0.009596824488849536,0.007365835002701715
chr02,141.26593505578248,890524,152.16796709918273,152.16006999976048,0.08231200085100532,0.06317679537801268
chr02,148.71771401380687,1029163,156.59880165631253,156.40923049644172,1.975913007837396,1.5165692789664718
chr02,155.28451411686123,1107857,151.08216993614062,150.88904498352397,2.0129544297416357,1.5449996209331402
chr02,158.67564393379928,1188710,150.93735532577247,150.88904498352397,0.5035419613771327,0.3864827379879898
chr02,162.2183349459015,1278167,153.89288373584958,153.8100796153827,0.8630729423427824,0.6624329637350002
chr02,166.50667603377275,1374406,153.86454927530494,153.8100796153827,0.5677409456489442,0.43575727937786723
chr02,170.28205365918,1480215,148.7082944545775,148.64637123246422,0.6454299279711962,0.4953857769062324
chr02,174.01823096897684,1627863,148.69190405449288,148.64637123246422,0.47459168046073463,0.3642625762292937
chr02,177.94705255652727,1916420,151.45640485923445,151.4244838842557,0.3327144789659373,0.25536779983008273
chr02,188.90008145320715,2389894,151.4631829928127,151.4244838842557,0.40336342322124163,0.30959286845609313
chr02,193.3806893876915,2674129,151.58318752045244,151.5792163044248,0.04139225297410812,0.031769728221206606
chr02,197.68798692335153,2816714,154.20037848899574,154.16626411486837,0.3555764264903936,0.27291499301895783
chr02,209.6855204048811,2963813,153.92797308308113,153.80813491137891,1.2490813605994926,0.958705373617704
chr02,212.91244646175966,3194890,154.2105932487602,153.80813491137891,4.194850442895637,3.2196666990503218
chr02,220.33344671767333,3589470,156.72003077757824,156.63991634398297,0.8350381543495254,0.6409154687621594
chr02,233.10078130811556,3916526,156.70383531946172,156.63991634398297,0.6662318001438498,0.511351803829939
chr02,237.21268621996416,4097944,159.12904456582135,159.12263627179811,0.06679408158486817,0.05126635218584852
chr02,241.00120560118563,4243277,159.3739246273943,159.12263627179811,2.6191955088471954,2.0103068447695023
chr02,245.52040867459908,4520938,151.3822266664194,151.3360114158658,0.48170467908477566,0.3697220044286951
chr02,248.82852936929422,4753340,140.9050802726879,140.90507903726066,1.287694168362309e-05,9.883417988021392e-06
chr02,254.71768115211339,4857313,146.2639011755606,146.11157305641166,1.5877262780419859,1.2186249531914655
chr02,257.8436990011801,4978677,149.5701847948096,149.4063203371218,1.7079703140930644,1.3109156615023494
chr02,261.0706250580586,5070639,147.29469932273358,146.84438914082423,4.693613451553867,3.6024814552747557
chr02,264.19893564373615,5216270,147.6618315742371,147.06632688668083,6.2069855940771586,4.764037500450286
chr02,270.61799397614647,5362609,153.44823155636828,152.35918297372885,11.351226959156742,8.712388661115483
chr02,275.98027049382637,5443505,153.52817537893,152.35918297372885,12.184486823176092,9.351939241609216
chr02,279.2071965507049,5746195,153.3570942608574,152.35918297372885,10.401296770293568,7.983290297028361
chr02,283.37191190096775,6057570,158.23944472078324,156.5196311477417,17.925733072182084,13.758508584332276
chr02,289.4532863070526,6274186,155.49325335530736,153.96794433595372,15.898398967261132,12.202472154829138
chr02,294.16753952650663,6721105,154.10427283781803,153.96794433595372,1.4209611860593947,1.0906280149145005
chr02,300.6104638727631,7139803,154.29069597515547,153.90606183468722,4.009067634167074,3.077073123746004
chr02,306.86862102046337,7351837,151.52496911545757,151.31638209224673,2.17411663625023,1.6686961856867129
chr02,310.122876949572,7561355,156.93606650173982,156.5196311477417,4.340533831459362,3.3314828319848857
chr02,313.4574456745056,7905741,156.8264989572145,156.5196311477417,3.19850391186667,2.4549424757824454
chr02,317.84133675114515,8170986,146.47757974923147,146.1063111389762,3.869757809706077,2.9701488820421673
chr02,321.9252383018585,8234803,146.28462067188406,146.1063111389762,1.858532309103123,1.4264762632628845
chr02,325.5016106894344,8274366,159.2557549952289,159.12263627179811,1.3875054485758638,1.0649497874462668
chr02,329.41549554047816,8454515,154.35791935148674,154.01765937969154,3.546552675917135,2.722079774361646
chr02,341.00557624334436,8658299,151.47937955260122,151.31784529124172,1.68368252032188,1.2922740908759351
chr02,346.67201050869454,8925100,154.16561567185735,153.81854356002475,3.617556071793782,2.7765768946608205
chr02,366.9452659141028,9384294,159.19261275103597,159.12263627179811,0.7293695711043946,0.5598118339028133
chr02,395.88549434341735,9642670,156.5539128761456,156.5196311477417,0.35732077142204466,0.27425382723117764
chr02,403.17108490248705,9735616,156.64204040269965,156.5196311477417,1.2758799350909587,0.9792740396635509
chr02,416.2073980256497,10064214,159.19157918739398,159.12263627179811,0.7185966674305829,0.5515433247669534
chr02,425.91519874769756,10361942,155.1520560397929,154.9712323307605,1.8847377367213147,1.4465896722592788
chr02,442.38915880420967,10398531,152.55994906777443,152.2558473243124,3.169673018945053,2.432813947696104
chr02,445.7237275291433,10495433,153.86757927178,153.80960945711462,0.604223295026983,0.46375851732295814
chr02,450.90076147618527,10637429,149.35308495474123,148.7955724392183,5.810990618006778,4.460100124183555
chr02,456.07779542322726,10704330,151.8559298046243,151.5016647154088,3.692528961054289,2.8341207137241327
chr02,462.20791152784386,10795556,156.8061765735633,156.40923049644172,4.137395781769113,3.1755686169726687
chr02,466.9125747545428,10887329,156.78822113032123,156.40923049644172,3.9502449836852884,3.0319250710360848
chr02,470.8361555266176,10999313,160.20365296071054,159.12263627179811,11.267509988159794,8.64813351129942
chr02,484.24935485635154,11260162,161.2125427116231,159.12263627179811,21.783236028241337,16.719251518599776
chr02,488.2861282739734,11452985,159.32928516168283,159.12263627179811,2.1539153416407806,1.6531911190777464
chr02,495.07620533192653,11678286,159.05894812266297,156.56314067296034,26.013969679173062,19.966459597620997
chr02,499.8592612603822,12043566,152.3861911125534,151.4633927617559,9.61838955985868,7.382386806380055
chr02,503.3119864038658,12310667,152.1304846193365,151.5407270468564,6.147083025330305,4.718060579840767
chr03,0.0,229677,149.44922520318266,148.8717029992017,6.019552952773012,4.62017763184781
chr03,3.7053986076860923,343180,152.6394921509434,151.3360114158658,13.58626777227335,10.42784588062068
chr03,6.932324664564652,400958,155.24954006198874,154.8530760519585,4.132371163904734,3.171712080241832
