chrom,pos,beta,F,p,LOD,n
chr01,131685,-0.0018285714285714285,1.5306259273506637,0.2202739514328912,0.6570368574467216,70
chr01,131821,-0.00155,1.1413854225741034,0.28919397754695947,0.5388107554485886,69
chr01,200772,0.0013769841269841271,0.8844128677755144,0.3502766233128102,0.45558884556845497,71
chr01,200779,-0.0015408496732026136,1.0885975449324472,0.3004772693102705,0.5221883761953663,70
chr01,222996,0.0012608901515151515,0.6354805237347689,0.428346353964278,0.36820492541291616,65
chr01,223269,0.0012608901515151515,0.6354805237347689,0.428346353964278,0.36820492541291616,65
chr01,238341,-0.0022916666666666662,2.608354835548872,0.1110729334612213,0.9543917581657514,68
chr01,238503,-0.0016560196560196565,1.2573952254361205,0.2660890388236986,0.5749730152510545,70
chr01,238526,-0.0014673295454545455,0.935249652359077,0.3372004621101903,0.4721118388759781,65
chr01,243020,-0.0015637254901960775,1.1133221407132687,0.29509545954966115,0.530037472667772,70
chr01,244975,0.00148489666136725,1.0289566477866585,0.31394767331363255,0.5031427311779999,71
chr01,251624,-0.0014848966613672501,1.0289566477866585,0.31394767331363255,0.5031427311779999,71
chr01,351727,-0.0011764705882352944,0.6430319932773915,0.4254928499956674,0.371107733425497,68
chr01,378870,-0.0009428571428571433,0.40021618115981644,0.5290992603087499,0.2764628456198101,70
chr01,409030,-0.0008774509803921566,0.34665786281100325,0.5579619638570015,0.25339540581161263,70
chr01,409188,-0.0006322580645161293,0.1637879246589389,0.6870422121196793,0.16301657891212754,66
chr01,412390,0.00048484848484848543,0.1122672220232344,0.7386564901928506,0.13155748189910207,67
chr01,412674,0.0012987394957983196,0.7819328994589527,0.37971291612165536,0.4205446298684773,69
chr01,415635,0.001373160173160173,0.8501512461539885,0.35986788987049534,0.44385690265019767,68
chr01,460564,-0.00022857142857142878,0.023431232670201484,0.8787943210324091,0.05611275825159179,70
chr01,475305,0.0008400178253119435,0.3162171946256744,0.5758241324512888,0.23971013804979374,67
chr01,476636,0.00013398692810457518,0.008043094742326722,0.9288025166752033,0.032076616507345654,70
chr01,476659,7.392686804451571e-05,0.0025130231104890425,0.9601635778880822,0.017654772249621108,71
chr01,494511,0.0007411616161616166,0.2527676104788464,0.6167816809641429,0.20986853374817244,69
chr01,545840,0.0010819529206625986,0.5047289282435373,0.47993254960133147,0.31881979469589383,68
chr01,553844,-0.001020559210526317,0.47879137322026605,0.49132626701903115,0.30863001722792643,70
chr01,556600,0.0013847128378378377,0.8432511182588994,0.3617626300605171,0.44157629761089595,69
chr01,572004,-0.001501420454545455,0.8903643533398682,0.3489832668179176,0.45719539625819494,65
chr01,572024,0.001501420454545455,0.8903643533398682,0.3489832668179176,0.45719539625819494,65
chr01,592304,-0.0012263621794871811,0.6929263907144732,0.40804268625061646,0.38929440202435944,71
chr01,611254,-0.0012842902711323763,0.7643705050474942,0.38499715420539815,0.41454248066672,71
chr01,611258,0.0012842902711323767,0.7643705050474942,0.38499715420539815,0.41454248066672,71
chr01,611281,-0.0012842902711323763,0.7643705050474942,0.38499715420539815,0.41454248066672,71
chr01,611393,-0.0012842902711323763,0.7643705050474942,0.38499715420539815,0.41454248066672,71
chr01,639463,-0.0003547619047619055,0.050408135779115064,0.823081194954186,0.08455732058211254,65
chr01,642128,-0.0013694444444444442,0.9373731160125122,0.33659896543193857,0.4728872232024134,66
chr01,643414,-0.0004760101010101011,0.10132007137975672,0.7512412986352569,0.12422054524088862,69
chr01,679690,0.0005317460317460318,0.13046525239768064,0.7190537532679853,0.14323864247515125,71
chr01,684439,-0.0005317460317460318,0.13046525239768064,0.7190537532679853,0.14323864247515125,71
chr01,684464,-0.0005317460317460318,0.13046525239768064,0.7190537532679853,0.14323864247515125,71
chr01,709138,9.831932773109278e-05,0.004401478103999334,0.9473018158601256,0.023511630205338273,69
chr01,722292,-0.00010464015151515166,0.004527292607636965,0.946567777773637,0.023848283486539473,65
