Chromosome,cM,Position_bp,L,L0,LOD,X^2
chr01,0.0,330668,212.12624705813056,211.60603833082484,5.422170712962847,4.161669818445716
chr01,6.813443519055584,507204,208.3819890119416,208.3482745644587,0.35140796405384805,0.26971557986325934
chr01,13.849826493811467,616767,211.8498245077453,211.67701249585926,1.8012312760489255,1.3824960950882996
chr01,22.279394692914096,767672,214.93272027281756,214.93022315225056,0.026027656389484333,0.019976964535999286
chr01,30.01904516113331,881257,211.6154879059271,211.60603833082484,0.09849355975772246,0.07559660081801667
chr01,33.41017497807136,1001444,205.0988177530566,205.0964662055596,0.024510338445129256,0.01881237997599783
chr01,39.32337100275807,1203334,205.0982034271958,205.0964662055596,0.01810717849072062,0.013897773089638576
chr01,44.65820645837664,1648833,214.93955125616023,214.93022315225056,0.09722745731012103,0.07462483127733321
chr01,53.94406374813128,2036829,211.60941264319948,211.60603833082484,0.0351706858684921,0.026994498997055416
chr01,57.07008159719798,2097688,211.60941669248683,211.60603833082484,0.0352128918641882,0.027026893295897025
chr01,60.34994572148864,2124190,211.62905461136057,211.60603833082484,0.2399002471344947,0.18413024428582503
chr01,63.86015865515107,2154055,211.48116306491212,211.43128082877996,0.5199259175326406,0.3990578890573033
chr01,67.3703715888135,2335415,211.50654947132068,211.43128082877996,0.7845301467787986,0.6021491403257642
chr01,71.59999276388767,2531976,211.70938304152855,211.40714044015627,3.1502950553296216,2.41794081097828
chr01,74.63122385470942,2720987,209.52270724506724,207.89120083758934,17.005301518978808,13.052051259823202
chr01,79.05601602393915,2950455,209.54866004873037,207.89120083758934,17.275809345078397,13.259673689128249
chr01,82.83139364934641,3198233,210.43237155948296,208.56703058132658,19.44257504835194,14.922727825251059
chr01,90.73160610650882,3435191,210.2678132496961,208.56703058132658,17.727372666949773,13.606261346956217
chr01,102.72913958803836,3610153,213.14362282132004,211.60603833082484,16.026347032370033,12.300675923961535
chr01,107.90617353508038,3973888,215.08685538687595,214.93022315225056,1.6325883644635888,1.2530578770031298
chr01,124.49883807332631,4401863,212.51096552404078,211.60603833082484,9.432117276909132,7.23941754572752
chr01,127.64890016426055,4632430,211.91090238298796,211.60603833082484,3.1776186140425056,2.4389124173048913
chr01,133.0595793962722,4795494,214.9412666082335,214.93022315225056,0.11510668786865688,0.0883476478634293
chr01,138.26486991371868,5007948,215.17113486630848,214.93022315225056,2.5110390729889627,1.9272937124633245
chr01,150.60787381029496,5408064,211.761912165835,211.60603833082484,1.6246835140323448,1.2469906800813533
chr01,153.88773793458563,5840005,208.09703159543025,208.0948000670749,0.023259370822416893,0.01785222684270593
chr01,159.77306255218423,6074641,211.4826833339831,211.4159541087094,0.6955232236330214,0.5338338021895197
chr01,165.6622143350034,6226027,215.05007773394587,214.93022315225056,1.2492524030662653,0.9588366535624573
chr01,174.45711869504913,6329343,205.26446213710736,205.19288048140018,0.7461004338990149,0.5726532456574205
chr01,180.91770526904943,6424775,205.21882653372273,205.19288048140018,0.27043745642058514,0.20756841858042208
chr01,184.367348843397,6512377,214.94173862154562,214.93022315225056,0.12002651451292765,0.09212375436050024
chr01,188.154647551295,6674047,211.8853990437562,211.88207633989626,0.03463276683285614,0.02658163087949106
chr01,192.23854910200836,6867277,208.60371970371617,208.56703058132658,0.3824132015921182,0.2935129791167128
chr01,196.74047445314477,6973492,211.60747021247784,211.60603833082484,0.014924599215177832,0.01145505322392637
chr01,199.91029028108449,7101156,211.61874575463142,211.60603833082484,0.13245033692163194,0.1016593904525962
chr01,207.66035936646304,7361641,208.41331728506844,208.14462359221878,2.800612515043616,2.149549542797331
chr01,211.29832708058444,7544100,204.8701753107923,204.8337665066608,0.3794914254481328,0.2912704330519773
chr01,214.42434492965114,7644378,198.91883186255214,198.91824563387408,0.006110301120355385,0.004689829424478376
chr01,223.54042276934888,7762656,202.57727841268934,202.43462621196952,1.486873526495381,1.1412176057585839
chr01,228.28095049499348,7899854,205.91967273280613,204.84498353269277,11.201558144886134,8.59751360090695
chr01,235.70195075090714,8141644,205.9476013787857,204.84498353269277,11.49266030894896,8.820942768743407
chr01,239.0925972682623,8415251,213.04634446093493,211.88207633989626,12.135245290151122,9.314144968309392
chr01,252.29696221899198,8702551,212.9109212593243,211.40714044015627,15.674009082159182,12.030246553344341
chr01,255.94458506394025,8968190,208.73569888987058,208.1569100090573,6.0327556109799705,4.630311046506222
chr01,263.2301756230099,9113675,206.29406012291042,205.3215787020903,10.136239555574658,7.7798513665609335
chr01,266.86814333713136,9264698,205.57441959618666,205.49690242452115,0.8079667177698242,0.6201373733240416
chr01,271.61033686877636,9428307,209.27686984702405,208.3599066020419,9.557569857692403,7.3357059598572505
chr01,275.3349124030198,9546613,208.90795139696792,208.56703058132658,3.5534406959757536,2.7273665251307193
chr01,278.56017265389795,9647290,212.22935989044697,211.60603833082484,6.496922731085245,4.986572476977017
chr01,282.7292531008505,9730453,211.67701925073288,211.67701249585926,7.040650418061203e-05,5.403898899203341e-05
chr01,287.4201908617332,9915345,211.72566143162663,211.67701249585926,0.5070711445016779,0.3891914861389978
chr01,293.91636553047675,10103462,211.96423691119674,211.88207633989626,0.8563651858995818,0.6572845704038173
chr01,297.4265784641392,10275446,208.56703941606537,208.56703058132658,9.20850793643928e-05,7.067791034387483e-05
chr01,300.94546306153626,10440457,208.58860943764125,208.56703058132658,0.2249178773579255,0.17263085051740745
chr01,305.4940519718226,10562543,208.60222681939365,208.56703058132658,0.3668527674307886,0.2815699045365818
chr01,309.31270091105137,10855827,211.6799497787194,211.60603833082484,0.7703840152819377,0.5912915831563623
chr01,322.2882606853056,11237445,211.60663398067297,211.60603833082484,0.006208498612467183,0.0047651987849803845
chr01,327.20859851996784,11538521,212.09557782816634,212.08652028090304,0.09440742710465988,0.07246037810637063
chr01,333.3777948678152,11721663,208.80374590599678,208.75039284393029,0.5561025707548596,0.42682449653193544
chr01,336.8274384421628,11868199,204.80489443693884,204.77644092827424,0.29657284329170425,0.22762806931677915
chr01,342.0033754589641,12082470,201.76573972384983,201.74786289132456,0.18633143327124926,0.14301466020219777
chr01,346.2922364162441,12290492,209.08623812946863,208.56703058132658,5.41173535489461,4.153660385136391
chr01,350.7542264739668,12501022,208.35294717132408,208.2394145210781,1.1833584844244074,0.9082612019678891
chr01,354.8815183685495,12638901,205.8190307187646,205.19288048140018,6.526406230314626,5.0092018989153075
chr01,358.84380429251235,12891533,208.64440175481084,208.56703058132658,0.8064449688623059,0.6189693878741309
chr01,369.1810225182669,13165503,209.02621037818042,209.0220876544858,0.04297142762365962,0.0329817895569704
chr01,373.94653150848313,13281022,208.76298426792144,208.75039284393029,0.13124126300789513,0.10073139192923009
chr01,380.40711808248346,13375708,208.1523859866928,208.08758523227286,0.6754226416258873,0.5184060353594759
chr01,383.4404395180033,13610164,211.52763060060664,211.40714044015624,1.2558770833739246,0.9639212836032129
chr01,391.37718833046335,13893024,211.68504263373148,211.67701249585926,0.08369866960391542,0.06424110297780317
chr01,396.83715292871295,14052682,208.18272264411087,208.16744470718342,0.15924296885894712,0.12222349541957556
chr01,401.4558189352637,14225157,211.44618673636802,211.4159541087094,0.31511672077378305,0.24186102126896003
chr01,412.2669743587455,14428566,211.69593593088507,211.4159541087094,2.918269449698673,2.2398545774053673
chr01,422.0084156660629,14775669,208.0593205456489,208.05729939148816,0.021066626377935563,0.016169233285836526
chr01,449.989205062834,15185365,211.57975591027753,211.56566383231635,0.14688268073018573,0.11273662368944315
chr02,0.0,397627,198.88848833749412,198.3132471248797,5.995778025642765,4.601929700915434
chr02,129.7627353478433,639209,202.07652351538007,201.1868120617951,9.273522594673718,7.117691628679722
chr02,141.26593505578248,890524,205.88718659916628,204.61922765010573,13.216021796564306,10.143671592484452
chr02,148.71771401380687,1029163,211.66587017237936,211.60603833082487,0.6236313271013283,0.47865473243587076
chr02,155.28451411686123,1107857,201.5184738060556,201.34499796024187,1.8081504619296171,1.3878067665098115
chr02,158.67564393379928,1188710,201.54125394548208,201.34499796024187,2.04558939432746,1.5700478819217096
chr02,162.2183349459015,1278167,208.3915613646912,208.15980156666868,2.4156480337966535,1.854078384180184
chr02,166.50667603377275,1374406,208.33191791517137,208.15980156666868,1.7939803296014076,1.376930788021582
chr02,170.28205365918,1480215,201.39044556474332,201.34853093728233,0.4368789940160497,0.33531701968786365
chr02,174.01823096897684,1627863,201.81750039622983,201.34853093728233,4.8881003568492485,3.7517556715799856
chr02,177.94705255652727,1916420,205.39887093920183,205.26826335561486,1.3613316683168777,1.0448606686957191
chr02,188.90008145320715,2389894,205.28356577947739,205.26826335561486,0.15949819783771202,0.12241939090017695
chr02,193.3806893876915,2674129,205.05028912680842,205.04956319144162,0.0075664733764912425,0.00580748293441502
chr02,197.68798692335153,2816714,208.45406344400885,208.3599066020419,0.9814031255925316,0.7532547357357089
chr02,209.6855204048811,2963813,208.32447054748076,208.19534621026324,1.3458716911915944,1.0329946977401505
chr02,212.91244646175966,3194890,208.22665260108462,208.19534621026324,0.3263086267688174,0.25045112657107893
chr02,220.33344671767333,3589470,211.9120279861528,211.88207633989626,0.31218803263515227,0.2396131700522801
chr02,233.10078130811556,3916526,211.8822544057628,211.88207633989626,0.0018559925581870668,0.0014245269323964749
chr02,237.21268621996416,4097944,214.9546941402702,214.93022315225056,0.25506276152749785,0.19576790415703726
chr02,241.00120560118563,4243277,215.19975788016686,214.93022315225056,2.8093786803681855,2.156277823330356
chr02,245.52040867459908,4520938,205.41550455328343,205.26053351938822,1.6152735570127368,1.2397682711616653
chr02,248.82852936929422,4753340,193.38544609294053,193.0409401385826,3.5908088390509274,2.7560476348633074
chr02,254.71768115211339,4857313,199.4873797727136,199.42003356764306,0.7019540457423472,0.5387696405643965
chr02,257.8436990011801,4978677,201.62027297005844,201.51730018627296,1.0732922828219627,0.8237822702838002
chr02,261.0706250580586,5070639,198.67177920194632,198.65794355902028,0.14420984103270812,0.11068514340831825
chr02,264.19893564373615,5216270,199.38765416142877,198.9209830449159,4.864144578363909,3.7333689321028487
chr02,270.61799397614647,5362609,205.48243449459008,205.04956319144165,4.511846839959201,3.46297042518745
chr02,275.98027049382637,5443505,205.49693645771129,205.04956319144165,4.663001781406494,3.578986130157091
chr02,279.2071965507049,5746195,205.55031776720108,205.04956319144165,5.219398776962984,4.00603660607544
chr02,283.37191190096775,6057570,212.28801525737987,211.60603833082484,7.108291583716461,5.455815412440188
chr02,289.4532863070526,6274186,208.3714647867269,208.13089689055943,2.5074554358866292,1.9245431693398132
chr02,294.16753952650663,6721105,208.16827559900761,208.13089689055943,0.38960080367323985,0.29902966758550065
chr02,300.6104638727631,7139803,208.18217974747884,208.1569100090573,0.26338819093474625,0.20215790737233874
chr02,306.86862102046337,7351837,204.8751768210541,204.83288384223587,0.440822575776292,0.33834383054590944
chr02,310.122876949572,7561355,211.6768760222936,211.60603833082484,0.7383460443756199,0.5667015317501409
chr02,313.4574456745056,7905741,212.06652135187568,211.60603833082484,4.799645641260387,3.6838641684066715
chr02,317.84133675114515,8170986,198.9028597315768,198.36846755354418,5.570005778203831,4.275137424260947
chr02,321.9252383018585,8234803,200.31796036046438,198.36846755354418,20.319695245332632,15.595942455361637
chr02,325.5016106894344,8274366,215.54225757432891,214.93022315225056,6.379276133843378,4.896275376626818
chr02,329.41549554047816,8454515,208.23063040636944,208.13089689055943,1.0395291738504127,0.7978681264801253
chr02,341.00557624334436,8658299,205.08403926748161,204.76654195293273,3.3092959614643913,2.539978516391102
chr02,346.67201050869454,8925100,208.43041981133322,208.2394145210781,1.99086104573121,1.528042322041074
chr02,366.9452659141028,9384294,215.2048117953687,214.93022315225056,2.862055979988188,2.196709144945089
chr02,395.88549434341735,9642670,212.05645810711744,211.60603833082484,4.6947557612152675,3.60335821034073
chr02,403.17108490248705,9735616,212.50379831055997,211.60603833082484,9.357412926540984,7.18207983788102
chr02,416.2073980256497,10064214,215.37884899598427,214.93022315225056,4.676057480945763,3.589006749869668
chr02,425.91519874769756,10361942,208.60763104439786,208.35990660204186,2.582048600346528,1.9817955388480186
chr02,442.38915880420967,10398531,205.34287707722893,205.04956319144165,3.057230449512442,2.3465110862982783
chr02,445.7237275291433,10495433,208.48171020907975,208.290173131873,1.9964038970585554,1.532296617654083
chr02,450.90076147618527,10637429,202.44178053922138,202.37649794193698,0.6804449223583391,0.5222607782752675
chr02,456.07779542322726,10704330,205.7002589505272,205.69501531596248,0.05465475735781049,0.041949076517767026
chr02,462.20791152784386,10795556,211.6711725038532,211.60603833082487,0.6788978863088101,0.5210733842266109
chr02,466.9125747545428,10887329,211.8837196888318,211.60603833082487,2.8942915562354665,2.2214508640554413
chr02,470.8361555266176,10999313,215.51394696725032,214.93022315225056,6.084192763437823,4.66979051999806
chr02,484.24935485635154,11260162,215.45490281123486,214.93022315225056,5.4687715359302445,4.197437271874378
chr02,488.2861282739734,11452985,215.17102544266683,214.93022315225056,2.5098985429788003,1.9264183233301537
chr02,495.07620533192653,11678286,212.08215814407802,211.43128082877996,6.78413823431882,5.207018522384487
chr02,499.8592612603822,12043566,205.76041244997802,204.87195069166629,9.260496936404326,7.1076940664938775
chr02,503.3119864038658,12310667,204.87364668975374,204.8512168132338,0.23378811845711306,0.17943901215949154
chr03,0.0,229677,201.56788615209612,201.29287790968618,2.8664294917571596,2.2000659392795114
chr03,3.7053986076860923,343180,204.9225928705126,204.79946330184916,1.28338781351187,0.9850365493075515
chr03,6.932324664564652,400958,208.1392308867934,208.08758523227286,0.5383061465412695,0.4131652361643319
chr03,10.381968238912224,496074,201.44283478164576,201.39220435204243,0.5277243886348211,0.4050434368266451
chr03,18.241247415032845,734009,204.98093412008032,204.90107221461784,0.8324060365592151,0.6388952436998352
chr03,29.526138970998176,1032158,211.72278827741405,211.40714044015627,3.290018734698042,2.525182698062281
chr03,44.9396050314171,1276872,208.69083787345102,208.08758523227286,6.287743038173684,4.826021129425271
chr03,48.42058674530513,1504456,201.544508476477,201.4793050679093,0.6796195330136201,0.5216272685415788
chr03,51.8702303196527,1854093,205.26951728792287,204.9898907434155,2.9145663665575006,2.23701235605904
chr03,58.71393102571332,2120134,204.77559033707948,204.7321511692159,0.45276938163879665,0.34751334290854174
chr03,63.25588665682837,2321163,198.0561759806873,197.9816598182571,0.7766869957450142,0.5961292994415999
chr03,70.71629299818882,2683291,204.83858612116617,204.83288384223587,0.05943523856886451,0.04561823144240407
chr03,77.30475687974499,2927337,208.11513159258672,208.09480006707494,0.2119168641225756,0.1626522040942291
chr03,82.59566474988199,3142790,211.41682718016293,211.4159541087094,0.009100082749767367,0.006984571628208869
chr03,90.29587970441708,3520517,208.41088940507242,208.10923426467838,3.144171909861246,2.4132411231523747
chr03,96.80531826080872,3802985,208.70015591469775,208.10923426467838,6.159216284173825,4.727373200154943
chr03,101.97927063871477,3981069,213.23720842195826,212.98622325036646,2.616035401484558,2.007881372734346
chr03,107.57760315546196,4183381,213.19521058899252,212.98622325036646,2.178289150870652,1.6718987090084738
