Chromosome,cM,Position_bp,L,L0,LOD,X^2
chr01,0.0,330668,253.5700454917346,252.82037727663882,7.813842457784437,5.997345720766134
chr01,6.813443519055584,507204,249.05299747279807,248.72362552153209,3.4330661022845606,2.634975610127867
chr01,13.849826493811467,616767,252.9407921212613,252.64766844237684,3.055247910112797,2.3449894310756463
chr01,22.279394692914096,767672,257.0101423232915,256.74745605350165,2.737996738595718,2.1014901583189385
chr01,30.01904516113331,881257,253.16574724213163,252.82037727663882,3.5998144854874248,2.7629597239424584
chr01,33.41017497807136,1001444,303.3526305125523,245.57780427555355,602.1909174635466,462.1986098959901
chr01,39.32337100275807,1203334,246.28657428712677,245.57780427555355,7.3875577191541,5.670160092585775
chr01,44.65820645837664,1648833,256.9155242654305,256.74745605350165,1.7517863285772979,1.344545695430952
chr01,53.94406374813128,2036829,252.82605855271726,252.82037727663882,0.05921632442478733,0.04545020862747151
chr01,57.07008159719798,2097688,252.88171047819338,252.82037727663882,0.6392801038225379,0.4906656124364872
chr01,60.34994572148864,2124190,252.89725306078697,252.82037727663882,0.8012814923405767,0.6150062731851449
chr01,63.86015865515107,2154055,254.3931522713121,254.39142244012623,0.018030147327387246,0.013838649486842769
chr01,67.3703715888135,2335415,254.42450830342963,254.39142244012623,0.3448561886801088,0.26468690642718684
chr01,71.59999276388767,2531976,252.9702198235943,252.93649529632737,0.35151302632387377,0.2697962181355251
chr01,74.63122385470942,2720987,250.58805772047774,250.5276797330569,0.629323842366881,0.48302389936657164
chr01,79.05601602393915,2950455,250.61785580987012,250.5276797330569,0.9399113414318383,0.7214086145056626
chr01,82.83139364934641,3198233,314.4332357379884,248.72429487206807,684.8887303146308,525.6715269273627
chr01,90.73160610650882,3435191,248.83295346235656,248.72429487206807,1.1325558281682062,0.8692687223078792
chr01,102.72913958803836,3610153,252.82226951070646,252.82037727663882,0.019722883537086594,0.015137872541117758
