Chromosome,cM,Position_bp,L,L0,LOD,X^2
chr01,0.0,330668,270.7548320654009,270.7518397416551,0.03118919258071557,0.023938589966292056
chr01,6.813443519055584,507204,266.74798842544266,266.65616484014936,0.9570834336348462,0.7345886823463843
chr01,13.849826493811467,616767,270.4992269770202,270.27484577324583,2.338740447408589,1.7950496301950807
chr01,22.279394692914096,767672,274.36837830035313,274.35587419794723,0.13033110422483973,0.10003281924718976
chr01,30.01904516113331,881257,270.76645661205316,270.7518397416551,0.152352627757864,0.11693496318457619
chr01,33.41017497807136,1001444,264.24869178042184,264.2206741458303,0.29202969837819637,0.22414107673239414
chr01,39.32337100275807,1203334,306.3351111450935,264.2206741458303,438.96162233381165,336.91549599410564
chr01,44.65820645837664,1648833,274.59337907517283,274.35587419794723,2.475529382500535,1.9000390178048292
chr01,53.94406374813128,2036829,271.0479129164558,270.7518397416551,3.085990705332612,2.368585398405685
chr01,57.07008159719798,2097688,271.07418855224245,270.7518397416551,3.359863432467977,2.5787904846988567
chr01,60.34994572148864,2124190,270.9728301172581,270.7518397416551,2.3033976162750247,1.767923004824297
chr01,63.86015865515107,2154055,270.2752544981066,270.2748457732458,0.004260166840381547,0.003269798886776698
chr01,67.3703715888135,2335415,270.27556586329587,270.2748457732458,0.007505547245510256,0.005760720400758146
chr01,71.59999276388767,2531976,270.28807645062926,270.2748457732458,0.13790424430780276,0.10584541906791856
chr01,74.63122385470942,2720987,266.4491504464791,266.43401050656536,0.1578046166613401,0.12111951931001386
chr01,79.05601602393915,2950455,266.43504603719816,266.43401050656536,0.010793405752057401,0.008284245062441187
chr01,82.83139364934641,3198233,267.7956217962185,267.7610094786139,0.3607665249971344,0.2768985408365552
chr01,90.73160610650882,3435191,269.2468334017843,267.7610094786139,15.48684314190546,11.886591385362863
chr01,102.72913958803836,3610153,305.17163679935766,270.7518397416551,358.7598703293601,275.35837646162054
chr01,107.90617353508038,3973888,275.5993317705103,274.35587419794723,12.960642293878628,9.947660580504362
chr01,124.49883807332631,4401863,303.5436027732175,270.7518397416551,341.7907616756786,262.3341042524994
chr01,127.64890016426055,4632430,302.57631896236364,270.7518397416551,331.7086971599622,254.59583376566843
chr01,133.0595793962722,4795494,317.0905130980123,274.35587419794723,445.42602865023156,341.87711120052063
chr01,138.26486991371868,5007948,274.5209727623236,274.35587419794723,1.7208334914912955,1.3207885150109178
chr01,150.60787381029496,5408064,270.8043586479119,270.7518397416551,0.5474081083902153,0.4201512500544595
chr01,153.88773793458563,5840005,307.7848112960378,266.7508460286913,427.6997924692387,328.271722138772
chr01,159.77306255218423,6074641,270.41476857913545,270.3410140967604,0.7687479530670642,0.5900358590006363
chr01,165.6622143350034,6226027,274.35587579721744,274.35587419794723,1.6669301413362055e-05,1.2794161648344016e-05
chr01,174.45711869504913,6329343,265.0048145027256,263.9782388263034,10.70006763662991,8.212605411377353
chr01,180.91770526904943,6424775,265.3684064128296,263.9782388263034,14.489810681977751,11.121340692209287
chr01,184.367348843397,6512377,275.14626046612005,274.35587419794723,8.238249476149472,6.323090145382594
chr01,188.154647551295,6674047,271.4019575119169,271.32840616819067,0.7666306252051257,0.5884107498100093
chr01,192.23854910200836,6867277,267.86928101560767,267.7610094786139,1.1285215455257136,0.8661722959500366
chr01,196.74047445314477,6973492,270.91569180598754,270.7518397416551,1.7078411373129045,1.3108165146595638
chr01,199.91029028108449,7101156,270.8213449055042,270.7518397416551,0.7244570189627014,0.556041310792807
chr01,207.66035936646304,7361641,266.7308632222885,266.7119276623888,0.1973666202286913,0.1514844791977339
chr01,211.29832708058444,7544100,263.2238359641949,263.1466815908882,0.8041852459634049,0.6172349864536955
chr01,214.42434492965114,7644378,256.49492935701176,256.4684519242487,0.2759760706549136,0.21181946210435854
chr01,223.54042276934888,7762656,260.3641178944357,260.21370963663014,1.5677154335433352,1.203266062444527
chr01,228.28095049499348,7899854,263.43140830818686,263.40939891376183,0.2294054051717097,0.17607515540021268
chr01,235.70195075090714,8141644,263.4111273670614,263.40939891376183,0.01801578552546608,0.013827626396505366
chr01,239.0925972682623,8415251,271.48560156141747,271.32840616819067,1.638458204616267,1.2575631458144017
chr01,252.29696221899198,8702551,270.43299450153154,270.2748457732458,1.6483948803486028,1.2651898262861323
chr01,255.94458506394025,8968190,266.2942382684069,266.2032776949473,0.9480882029822012,0.7276845876767766
chr01,263.2301756230099,9113675,262.3598144607846,262.3513220174924,0.08851731023226908,0.06793954633758403
chr01,266.86814333713136,9264698,263.81554017951584,263.7381071471217,0.8070897284594567,0.6194642591531192
chr01,271.61033686877636,9428307,267.6529076985776,267.5247230517341,1.3360772349326078,1.0254771747481755
chr01,275.3349124030198,9546613,268.14675095763016,267.7610094786139,4.020609498670916,3.0859318321299725
chr01,278.56017265389795,9647290,271.71449456949057,270.7518397416551,10.033816312955361,7.701238622683832
chr01,282.7292531008505,9730453,271.0118038918225,270.27484577324583,7.6813642629998595,5.8956649486135575
chr01,287.4201908617332,9915345,271.59695152167683,270.27484577324583,13.780397544867645,10.576845987447996
chr01,293.91636553047675,10103462,306.6416005183433,271.32840616819067,368.07181067156097,282.505554801221
chr01,297.4265784641392,10275446,267.79902514961844,267.7610094786139,0.3962399074348023,0.3041253680362388
chr01,300.94546306153626,10440457,267.76143711191753,267.7610094786139,0.004457250816923144,0.0034210664289275883
chr01,305.4940519718226,10562543,267.7643467312842,267.7610094786139,0.034784410066192414,0.026698021362335567
chr01,309.31270091105137,10855827,312.922392098758,270.7518397416551,439.546516500047,337.36441885682325
chr01,322.2882606853056,11237445,271.0389376032853,270.7518397416551,2.992440409733568,2.2967828930418364
chr01,327.20859851996784,11538521,271.58510534357134,270.52612139058544,11.037861292940832,8.471871623887182
chr01,333.3777948678152,11721663,267.37102121272386,266.43401050656536,9.766525900053772,7.496085649268025
chr01,336.8274384421628,11868199,263.6341279931748,262.56990682275705,11.092449164089054,8.513769363341908
chr01,342.0033754589641,12082470,260.62399674828634,259.532257453531,11.379272433340926,8.733914358042966
chr01,346.2922364162441,12290492,269.3488165311131,267.7610094786139,16.549820189458835,12.702456419993268
chr01,350.7542264739668,12501022,268.8410053900366,266.9409915136237,19.803973009577646,15.200111011303306
chr01,354.8815183685495,12638901,266.43768518080185,263.9782388263034,25.634975527097634,19.6755708359874
chr01,358.84380429251235,12891533,270.10299064011383,267.7610094786139,24.410627883858766,18.73584929199933
chr01,369.1810225182669,13165503,269.454904669399,267.5247230517341,20.118413414951142,15.441452941319312
chr01,373.94653150848313,13281022,300.30248283685046,266.94099151362366,347.7290781537747,266.8919305858144
chr01,380.40711808248346,13375708,267.0733730523849,266.9409915136237,1.379821722956356,1.0590523100895552
chr01,383.4404395180033,13610164,311.52978060154965,270.52612139058544,427.3839103959167,328.0292736877136
chr01,391.37718833046335,13893024,270.2923436854788,270.27484577324583,0.18238192146239018,0.13998329786363684
chr01,396.83715292871295,14052682,266.4922324054528,266.2032776949473,3.011794471019693,2.3116376840439443
chr01,401.4558189352637,14225157,270.7306273540996,270.2748457732457,4.750642212431843,3.6462526468312717
chr01,412.2669743587455,14428566,270.7084045769998,270.2748457732457,4.519012705223192,3.4684704300325393
chr01,422.0084156660629,14775669,267.02016143166907,266.43401050656536,6.109490696040651,4.689207400829673
chr01,449.989205062834,15185365,270.96890206200936,270.52612139058544,4.615132855027788,3.5422453713913455
chr02,0.0,397627,256.2423612899669,255.41434647748588,8.63045433587171,6.624118499848009
chr02,129.7627353478433,639209,259.3185230075889,259.2250101683304,0.9746906418496762,0.7481027140679544
chr02,141.26593505578248,890524,262.8475772829157,262.82933159398294,0.19017604852870545,0.14596551146223646
chr02,148.71771401380687,1029163,270.4837057669024,270.2748457732457,2.176961825650746,1.6708799492535036
chr02,155.28451411686123,1107857,259.0219460282783,258.73620464308374,2.978301764193432,2.285931081556555
chr02,158.67564393379928,1188710,295.1839347774885,258.73620464308374,379.8971538065005,291.5818410752381
chr02,162.2183349459015,1278167,267.63382961568277,266.65616484014936,10.190266011968216,7.8213182042673
chr02,166.50667603377275,1374406,308.22648642374975,266.65616484014936,433.2902705928311,332.5625726688031
chr02,170.28205365918,1480215,260.48464792412005,259.2250101683304,13.12928943687448,10.077102046317123
chr02,174.01823096897684,1627863,287.42988795868877,259.2250101683304,293.98134689059714,225.63902232286682
chr02,177.94705255652727,1916420,263.58793836350833,263.1466815908882,4.59924915483271,3.5300541809610877
chr02,188.90008145320715,2389894,263.67316254721646,263.1466815908882,5.48754657985236,4.211847650626169
chr02,193.3806893876915,2674129,264.6866633402036,263.9782388263035,7.383956573563646,5.667396111201015
chr02,197.68798692335153,2816714,267.6504885748539,267.5247230517341,1.310862544910624,1.0061241849584803
chr02,209.6855204048811,2963813,268.44573126085857,266.9194343313059,15.90869602201414,12.210375436421145
chr02,212.91244646175966,3194890,267.5940051283939,266.9194343313059,7.031096995881464,5.396566376703959
chr02,220.33344671767333,3589470,271.56926046716586,271.32840616819067,2.510440631702463,1.926834391801549
chr02,233.10078130811556,3916526,271.60349501922826,271.32840616819067,2.8672696809295886,2.200710808300755
chr02,237.21268621996416,4097944,274.3612094505869,274.35587419794723,0.055609698743221095,0.04268202111734354
chr02,241.00120560118563,4243277,274.36988474326006,274.35587419794723,0.14603286042760555,0.11208436250262821
chr02,245.52040867459908,4520938,263.8324943131826,263.6419417946121,1.9861417758708737,1.5244201485643316
chr02,248.82852936929422,4753340,272.6404224942506,243.92730129567846,299.27880227421963,229.7049695885769
chr02,254.71768115211339,4857313,251.50405408031247,251.0421352173865,4.814611518138705,3.6953509034078706
chr02,257.8436990011801,4978677,258.9683025681196,258.4933063994997,4.9509171589633745,3.7999693489591664
chr02,261.0706250580586,5070639,255.09195378696845,254.6481243807947,4.626063888183591,3.5506352493898703
chr02,264.19893564373615,5216270,256.46499714491375,255.72534682837326,7.709425224276688,5.917202532323927
chr02,270.61799397614647,5362609,264.52779662133395,263.6419417946121,9.233324712304045,7.086838613774944
chr02,275.98027049382637,5443505,264.53667085999626,263.6419417946121,9.32582150147531,7.157832523073466
chr02,279.2071965507049,5746195,264.4643108037877,263.6419417946121,8.571607746557458,6.578952073405162
chr02,283.37191190096775,6057570,271.0513266305729,270.7518397416551,3.1215720782247747,2.39589511134227
chr02,289.4532863070526,6274186,266.9527680964325,266.94099151362366,0.12274811830958804,0.09421266247090898
chr02,294.16753952650663,6721105,266.945751258801,266.94099151362366,0.0496111455789571,0.03807796141882136
chr02,300.6104638727631,7139803,266.6709186344598,266.4340105065654,2.46930942390128,1.8952650231549342
