Chromosome,cM,Position_bp,L,L0,LOD,X^2
chr01,0.0,330668,118.2311598004078,117.39347213949736,8.73127508860424,6.701501287283463
chr01,6.813443519055584,507204,118.04828089791889,117.56605755586234,5.026246476002417,3.85778673645234
chr01,13.849826493811467,616767,119.80737329931766,119.32035174010973,5.076258617566143,3.896172473663455
chr01,22.279394692914096,767672,119.14767596909627,119.11545834266101,0.3358064971404373,0.25774101148203954
chr01,30.01904516113331,881257,118.3390445884613,117.39347213949736,9.855765523794837,7.564579591711549
chr01,33.41017497807136,1001444,114.691718464119,113.05528441530204,17.056662657595318,13.091472390535728
chr01,39.32337100275807,1203334,113.66234326352374,113.05528441530204,6.327415391357447,4.856470785773581
chr01,44.65820645837664,1648833,120.37451052924189,119.11545834266101,13.123186009447124,10.072417492646991
chr01,53.94406374813128,2036829,117.62494357115092,117.39347213949736,2.412642371649283,1.85177145322848
chr01,57.07008159719798,2097688,117.80299769567708,117.39347213949736,4.268512541933059,3.276204449437728
chr01,60.34994572148864,2124190,117.7206626113123,117.39347213949736,3.4103283945732423,2.6175237745195545
chr01,63.86015865515107,2154055,117.76464811506776,117.73457427481628,0.31346166890053506,0.24059072201180243
chr01,67.3703715888135,2335415,117.73457465257758,117.73457427481628,3.937431512136163e-06,3.0220903681765776e-06
chr01,71.59999276388767,2531976,117.83968520238618,117.7345742748163,1.0955782999519716,0.8408874205590564
chr01,74.63122385470942,2720987,115.5795197783464,115.57505625107935,0.04652364628569816,0.035708218136392134
chr01,79.05601602393915,2950455,116.11749593745898,115.57505625107935,5.653885501440168,4.3395174910371
chr01,82.83139364934641,3198233,115.29493126082284,115.24280380738124,0.5433279692485271,0.4170196275327953
chr01,90.73160610650882,3435191,115.28659429904731,115.24280380738124,0.4564312533697374,0.3503239333285819
chr01,102.72913958803836,3610153,117.40712906239833,117.39347213949736,0.14234703013600108,0.10925538320771011
chr01,107.90617353508038,3973888,119.26934217324218,119.11545834266101,1.6039415634128376,1.2310706446493214
chr01,124.49883807332631,4401863,118.86259675494344,117.39347213949736,15.312785129195234,11.752996923568617
chr01,127.64890016426055,4632430,119.00158582179533,117.39347213949736,16.76147756388304,12.86490945838375
chr01,133.0595793962722,4795494,119.28680137440156,119.11545834266101,1.7859199967398514,1.3707442539243857
chr01,138.26486991371868,5007948,119.20083380309696,119.11545834266101,0.8898741925746847,0.6830036834875273
chr01,150.60787381029496,5408064,117.39363184244586,117.39347213949736,0.0016645946225920087,0.001277623587952803
chr01,153.88773793458563,5840005,115.27402509747733,115.22992226377208,0.45968681554771407,0.35282266964202336
chr01,159.77306255218423,6074641,117.08738629838072,116.9479932696773,1.4529029563602844,1.11514422962739
chr01,165.6622143350034,6226027,119.16139984616134,119.11545834266101,0.47885139505277735,0.3675320280026426
chr01,174.45711869504913,6329343,113.15875032569367,113.15051795204562,0.08580658675959583,0.06585898918444855
chr01,180.91770526904943,6424775,113.21850768827159,113.15051795204562,0.708661614455893,0.5439178898077444
chr01,184.367348843397,6512377,120.01275515807535,119.11545834266101,9.352585333531362,7.178374523314687
chr01,188.154647551295,6674047,117.70805038829847,116.96024136297203,7.794463997201399,5.982472202611575
chr01,192.23854910200836,6867277,115.53134839539467,115.24280380738124,3.007519736574788,2.3083567041074957
chr01,196.74047445314477,6973492,117.57297584285952,117.39347213949736,1.8709792284332045,1.436029626897266
chr01,199.91029028108449,7101156,117.57423325419623,117.39347213949736,1.884085311753576,1.4460889175909415
chr01,207.66035936646304,7361641,115.14341442081763,114.76710132506368,3.9223368228929685,3.0105047660316586
chr01,211.29832708058444,7544100,113.4340170069882,113.04346624619374,4.07073696758756,3.124406086355634
chr01,214.42434492965114,7644378,109.40198158179035,108.74180929129683,6.881020388802392,5.281378323948161
chr01,223.54042276934888,7762656,110.8882127911835,110.886671995167,0.016059820984899338,0.012326368131994059
chr01,228.28095049499348,7899854,113.9987039779197,113.41541835280013,6.079625480710055,4.666285000956577
chr01,235.70195075090714,8141644,113.56771812298064,113.41541835280013,1.587430794828645,1.2183981614440427
chr01,239.0925972682623,8415251,116.97817660215637,116.96024136297203,0.18694020982496676,0.14348191347471584
chr01,252.29696221899198,8702551,117.74736696490028,117.7345742748163,0.13333907309214338,0.10234152067187097
chr01,255.94458506394025,8968190,118.03459130325335,118.00264182592933,0.33301156083635297,0.2555958185921554
chr01,263.2301756230099,9113675,115.82481953481077,115.8002007962601,0.25660277529541214,0.1969499084053723
chr01,266.86814333713136,9264698,112.6429749420435,112.63638494953624,0.06868793716046799,0.05271994005806846
chr01,271.61033686877636,9428307,114.80536627141908,114.80469725444104,0.006973209164665468,0.005352135824296056
chr01,275.3349124030198,9546613,115.24301431892653,115.24280380738124,0.002194176059919371,0.0016840923623249182
chr01,278.56017265389795,9647290,117.77628803375728,117.39347213949736,3.99011593108661,3.062527154079362
chr01,282.7292531008505,9730453,119.3703108919007,119.32035174010973,0.5207276146412674,0.3996732143277768
chr01,287.4201908617332,9915345,119.4314995604297,119.32035174010973,1.1585012409729,0.8891825625597676
chr01,293.91636553047675,10103462,117.059150618973,116.96024136297203,1.030937858169155,0.7912740480078355
chr01,297.4265784641392,10275446,115.46312814543582,115.24280380738124,2.296455461906192,1.7625947044366512
chr01,300.94546306153626,10440457,115.52662092227894,115.24280380738124,2.958244964874547,2.270536919181609
chr01,305.4940519718226,10562543,115.79901485035047,115.24280380738124,5.797425281644623,4.449688343753905
chr01,309.31270091105137,10855827,117.98078911070893,117.39347213949736,6.1216444734075175,4.698535769692512
chr01,322.2882606853056,11237445,117.53237056742978,117.39347213949736,1.4477476991060518,1.1111874234593415
chr01,327.20859851996784,11538521,116.96032109998444,116.93418633593143,0.27240441153759626,0.2090781124240948
chr01,333.3777948678152,11721663,115.3179804424521,115.25505324602454,0.6558944200830656,0.5034175714204139
chr01,336.8274384421628,11868199,114.32714235217072,114.3140232235458,0.13674156406038213,0.10495302899937542
chr01,342.0033754589641,12082470,112.33769648332753,112.15806182261457,1.8723442057488697,1.4370772857037082
chr01,346.2922364162441,12290492,115.5464041971525,115.24280380738124,3.164447375552051,2.4288031181700944
chr01,350.7542264739668,12501022,115.55023015837588,115.29382690255527,2.672508459478103,2.0512260465649206
chr01,354.8815183685495,12638901,113.361388391143,113.15051795204562,2.1979168343161577,1.6869635127790161
chr01,358.84380429251235,12891533,115.32605614447903,115.24280380738124,0.8677447345708653,0.6660186967823165
chr01,369.1810225182669,13165503,114.79407992309906,114.78461740615539,0.09862845344525677,0.0757001355493685
chr01,373.94653150848313,13281022,115.227341271703,115.21005479362985,0.18017812892901142,0.13829182458516698
chr01,380.40711808248346,13375708,115.53702660898091,115.22949420377121,3.2054310381361693,2.4602592416775906
chr01,383.4404395180033,13610164,117.03376033362352,116.95491716705871,0.8217876521970129,0.6307453325184724
chr01,391.37718833046335,13893024,119.55874707086674,119.32035174010973,2.484810639822535,1.907162646056122
chr01,396.83715292871295,14052682,117.67565221621624,117.6601900258231,0.16116345518104613,0.12369752314509697
chr01,401.4558189352637,14225157,117.89378000978465,117.42001045068383,4.938132125069304,3.7901564728065296
chr01,412.2669743587455,14428566,118.22444561331322,117.42001045068383,8.384682052293325,6.435481301035111
chr01,422.0084156660629,14775669,116.21238055424271,115.30778102870195,9.428701974591647,7.236796204326083
chr01,449.989205062834,15185365,120.31041566193197,117.00936552224317,34.40706864366727,26.40840111751038
chr02,0.0,397627,109.49618139273095,109.43766603968595,0.6099094784174954,0.4681228243599662
chr02,129.7627353478433,639209,111.7061468762343,111.60709848080988,1.0323881177807084,0.7923871633953468
chr02,141.26593505578248,890524,113.8898952737779,113.84159070464406,0.5034817878129105,0.3864365530706664
chr02,148.71771401380687,1029163,117.9456196212232,117.43922570607894,5.278177992396837,4.051151321154066
chr02,155.28451411686123,1107857,112.21744768779939,112.16815025860417,0.5138304353160162,0.39437943356176675
chr02,158.67564393379928,1188710,112.2775433407012,112.16815025860417,1.140211485915094,0.8751446567762287
chr02,162.2183349459015,1278167,115.45423222596028,115.19883679309203,2.662003852751413,2.0431634629460405
chr02,166.50667603377275,1374406,115.31104677045298,115.19883679309203,1.1695721755763617,0.8976798188875819
chr02,170.28205365918,1480215,111.6876164035378,111.46104581739282,2.361560527784481,1.812564689159899
chr02,174.01823096897684,1627863,112.05597716899199,111.46104581739282,6.201009674658328,4.759450812793375
chr02,177.94705255652727,1916420,113.63978932400671,113.1966133102911,4.61925353444571,3.5454081097249173
chr02,188.90008145320715,2389894,113.47590040753741,113.1966133102911,2.9110282848203894,2.234296777970485
chr02,193.3806893876915,2674129,113.10326065719777,113.08389762404734,0.2018222028033607,0.15490426520341316
chr02,197.68798692335153,2816714,114.80774730213832,114.80469725444104,0.031790853227353935,0.024400381578288943
chr02,209.6855204048811,2963813,117.54072081454181,117.10281265023724,4.564346384108614,3.5032653144365895
chr02,212.91244646175966,3194890,117.10550553779866,117.10281265023724,0.028068148999487605,0.021543100491385303
chr02,220.33344671767333,3589470,117.95528671502574,116.96024136297203,10.371424935369696,7.960362816429665
chr02,233.10078130811556,3916526,117.68252312523296,116.96024136297203,7.528391609502721,5.778254098087473
chr02,237.21268621996416,4097944,119.79626054634836,119.11545834266101,7.09604736789575,5.4464176294987965
chr02,241.00120560118563,4243277,119.14663856944908,119.11545834266101,0.32499361052518194,0.24944181430453227
chr02,245.52040867459908,4520938,113.7241591295677,113.58562922946115,1.443906508677176,1.1082392008523811
chr02,248.82852936929422,4753340,105.66583622496205,105.54241571826667,1.2864202802761855,0.9873640535630557
chr02,254.71768115211339,4857313,109.46905472147198,109.34654201334703,1.2769582344404844,0.9801016649995518
chr02,257.8436990011801,4978677,114.51648664949296,114.51612933108044,0.0037243539562176724,0.0028585473002067374
chr02,261.0706250580586,5070639,112.34996232665843,112.30731023941776,0.4445655871266809,0.34121669792534703
chr02,264.19893564373615,5216270,111.85555259669049,111.83347064179453,0.2301617078627685,0.1766556391676204
chr02,270.61799397614647,5362609,113.8622500440069,113.83417233754665,0.29265583152447894,0.2246216516820141
chr02,275.98027049382637,5443505,113.83422953808227,113.83417233754665,0.000596205047579617,0.0004576042849748774
chr02,279.2071965507049,5746195,113.98170606305732,113.83417233754665,1.537753989213906,1.1802698040853556
chr02,283.37191190096775,6057570,118.38147789516961,117.39347213949736,10.29805074665063,7.9040460453779815
chr02,289.4532863070526,6274186,116.54991709874014,115.37691617261856,12.226267907568086,9.384007408972593
chr02,294.16753952650663,6721105,115.88064364148664,115.37691617261856,5.250385442699962,4.029819750944625
