Chromosome,cM,Position_bp,L,L0,LOD,X^2
chr01,0.0,330668,236.5685076533443,236.5679269770523,0.006052428225335605,0.0046454103360247245
chr01,6.813443519055584,507204,232.93599532765006,232.91766912072714,0.1910152929802078,0.14660965538337223
chr01,13.849826493811467,616767,238.7047358997564,236.40020633681203,24.02026734167163,18.436236503554937
chr01,22.279394692914096,767672,242.1173300902424,240.0425315675114,21.625765187594364,16.598388181848122
chr01,30.01904516113331,881257,237.78843314988575,236.5679269770523,12.721418303770054,9.764049382667508
chr01,33.41017497807136,1001444,231.96246539224163,230.646754420636,13.713744353949338,10.525687772845004
chr01,39.32337100275807,1203334,232.01164816235737,230.646754420636,14.226379689933001,10.919149933770996
chr01,44.65820645837664,1648833,241.6797664126863,240.0425315675114,17.065009412140434,13.097878761399215
chr01,53.94406374813128,2036829,237.29643042409512,236.5679269770523,7.593240650356581,5.8280275763424925
chr01,57.07008159719798,2097688,238.34467690627255,236.5679269770523,18.51918455957629,14.213999433761956
chr01,60.34994572148864,2124190,238.18381570020165,236.5679269770523,16.842517340002786,12.927109785194716
chr01,63.86015865515107,2154055,238.85061437719256,236.30615677733917,26.521053481274844,20.355660798827103
chr01,67.3703715888135,2335415,238.77396116686305,236.30615677733917,25.72209189088423,19.742435116191018
chr01,71.59999276388767,2531976,238.5138386135682,236.85689208137407,17.27046565777531,13.255572257553013
chr01,74.63122385470942,2720987,236.99741520347487,235.83590132080198,12.106537677572595,9.292111061383139
chr01,79.05601602393915,2950455,238.23997867129964,235.83590132080198,25.057860657353352,19.232618803981268
chr01,82.83139364934641,3198233,234.00445090682638,233.67435629929113,3.440598397405827,2.6407568602819538
chr01,90.73160610650882,3435191,233.77747437799707,233.67435629929113,1.0748067015948428,0.8249446296474616
chr01,102.72913958803836,3610153,236.9104918191248,236.5679269770523,3.5705764945472556,2.7405187365798156
chr01,107.90617353508038,3973888,240.04528827261473,240.0425315675114,0.028733323550733665,0.02205364082669803
chr01,124.49883807332631,4401863,237.84138193551627,236.5679269770523,13.273307073917561,10.187639667711665
chr01,127.64890016426055,4632430,236.61614481481456,236.5679269770523,0.5025777808668521,0.385742702098014
chr01,133.0595793962722,4795494,240.2307668709566,240.0425315675114,1.9619892860551937,1.5058824275615734
chr01,138.26486991371868,5007948,240.70763479048168,240.0425315675114,6.932415831169537,5.320825783762302
chr01,150.60787381029496,5408064,238.34260676096133,236.5679269770523,18.497607295126645,14.197438271272176
chr01,153.88773793458563,5840005,234.01831004615045,232.83944163007797,12.287425151767268,9.430947328579805
chr01,159.77306255218423,6074641,237.42616023283244,236.30615677733914,11.673871690399588,8.960027643946432
chr01,165.6622143350034,6226027,240.92394164325498,240.0425315675114,9.18699677254482,7.051280605948705
chr01,174.45711869504913,6329343,232.82891065548458,232.19659548713173,6.590663722544806,5.058521346822772
chr01,180.91770526904943,6424775,232.8533655109826,232.19659548713173,6.845558333709574,5.254160190806942
chr01,184.367348843397,6512377,240.9506898239954,240.0425315675114,9.465794867661106,7.265266051872004
chr01,188.154647551295,6674047,237.95427498632716,237.1318039789431,8.572670880775267,6.579768059072421
chr01,192.23854910200836,6867277,234.73134317611832,233.67435629929113,11.01704563320473,8.455895014617454
chr01,196.74047445314477,6973492,238.00452905565905,236.5679269770523,14.973800530311564,11.492816628853916
chr01,199.91029028108449,7101156,238.15738437577664,236.5679269770523,16.567021859670607,12.715659189794678
chr01,207.66035936646304,7361641,239.3932401655981,236.22507373121047,33.02201280493541,25.34533147510092
chr01,211.29832708058444,7544100,233.44747393007648,232.79917107704532,6.757304440165712,5.186422824249348
chr01,214.42434492965114,7644378,226.19689177252582,226.14219271106305,0.5701320134056305,0.4375924917021621
chr01,223.54042276934888,7762656,227.02602495200156,226.96342949400497,0.652436688003056,0.500763663972748
chr01,228.28095049499348,7899854,235.9541706710894,232.990578656364,30.889719806586836,23.708736117803255
chr01,235.70195075090714,8141644,233.91212087236727,232.990578656364,9.6052967820268,7.372337728026196
chr01,239.0925972682623,8415251,237.863007427724,237.1318039789431,7.621382950900006,5.84962759024711
chr01,252.29696221899198,8702551,237.7225940092671,236.85689208137407,9.023269686166918,6.925615423144336
chr01,255.94458506394025,8968190,234.4210643217343,233.22488965331462,12.467809389290778,9.56939734735738
chr01,263.2301756230099,9113675,229.90590385329958,229.40857071592032,5.1837368935546415,3.9786650990340604
chr01,266.86814333713136,9264698,232.34370900713256,232.3436755775456,0.0003484388434652233,0.00026743669559436967
chr01,271.61033686877636,9428307,236.2610083253737,236.2250737312105,0.37454870290819436,0.28747675330555467
chr01,275.3349124030198,9546613,233.71619657513082,233.67435629929113,0.43610402204368937,0.3347222067175153
chr01,278.56017265389795,9647290,236.7620417061831,236.5679269770523,2.023270937223649,1.552917833046422
chr01,282.7292531008505,9730453,236.54817298217606,236.40020633681203,1.5422663420959235,1.1837331629121763
chr01,287.4201908617332,9915345,236.40338205314333,236.40020633681203,0.033100705890555346,0.02540573065039098
chr01,293.91636553047675,10103462,237.13508312315307,237.1318039789431,0.03417874165796417,0.026233153679640964
chr01,297.4265784641392,10275446,233.68857551928704,233.67435629929113,0.1482078907485931,0.11375375996726689
chr01,300.94546306153626,10440457,233.8809692591204,233.67435629929113,2.153540840245224,1.6529036786341749
chr01,305.4940519718226,10562543,234.00333035920428,233.67435629929113,3.4289188538301847,2.6317924793052043
chr01,309.31270091105137,10855827,237.85799574854715,236.5679269770523,13.446473969662033,10.320550171958757
chr01,322.2882606853056,11237445,236.67913296964372,236.5679269770523,1.1591075744885393,0.8896479407312654
chr01,327.20859851996784,11538521,236.2598940123097,236.21641861695252,0.45314698325242286,0.3478031628574172
chr01,333.3777948678152,11721663,233.6697680957552,232.67132537308254,10.40683595887657,7.987541781381196
chr01,336.8274384421628,11868199,229.97836663456704,229.8186907242283,1.6643128020717755,1.2774072827098735
chr01,342.0033754589641,12082470,227.03744085607946,226.8851665052698,1.5871658470087247,1.218194806477186
chr01,346.2922364162441,12290492,233.70660126296454,233.67435629929113,0.3360914350207484,0.25795970938725077
chr01,350.7542264739668,12501022,235.01749080297773,235.01510602331334,0.024856719571257846,0.019078237315170554
chr01,354.8815183685495,12638901,232.19735104865518,232.19659548713173,0.007875268808925378,0.006044492187584183
chr01,358.84380429251235,12891533,233.7526609365712,233.67435629929113,0.8161745250760788,0.626437098240558
chr01,369.1810225182669,13165503,236.6199654576212,233.2935102320522,34.6718675703084,26.611641804551937
chr01,373.94653150848313,13281022,233.32150932827713,232.73906319972136,6.070875351304423,4.659569028446185
chr01,380.40711808248346,13375708,235.6017852586641,235.60174220041236,0.00044879906723049466,0.00034446601398485654
chr01,383.4404395180033,13610164,239.1595134875257,239.04852114024254,1.1568807350054118,0.887938778265152
chr01,391.37718833046335,13893024,237.55361268799362,236.40020633681203,12.02203232904786,9.227250809452698
chr01,396.83715292871295,14052682,237.71425807391128,235.19235792642272,26.285935631166744,20.175201179908527
chr01,401.4558189352637,14225157,239.13977371684305,238.82620745100792,3.268322375116975,2.50853012668108
chr01,412.2669743587455,14428566,239.40353411048122,238.82620745100792,6.017514779157407,4.618613275786402
chr01,422.0084156660629,14775669,237.54971520884516,237.2935034770538,2.670512191580656,2.049693854330826
chr01,449.989205062834,15185365,238.7945103946963,238.4647135186182,3.4374951223115,2.6383750086247346
chr02,0.0,397627,222.31948246820923,221.89574575856005,4.416636354731467,3.389893677193413
chr02,129.7627353478433,639209,230.69376966045644,225.7122108102009,51.9231244786149,39.85247080204431
chr02,141.26593505578248,890524,232.92457544456295,229.51345434671984,35.55434567752857,27.28896878274486
chr02,148.71771401380687,1029163,239.563477188467,236.4914666846747,32.019773043499924,24.576084030338507
chr02,155.28451411686123,1107857,229.06823101729256,226.73517272207172,24.317624245752416,18.6644663617667
chr02,158.67564393379928,1188710,229.2878604499225,226.73517272207172,26.606836661465856,20.42150182280625
chr02,162.2183349459015,1278167,235.28059292580585,232.70791252621223,26.815221629859913,20.581443196748978
chr02,166.50667603377275,1374406,235.1208016785755,232.70791252621223,25.149706663574058,19.30311321890622
chr02,170.28205365918,1480215,231.05854341673532,227.65882195630275,35.43552648657435,27.197771683460587
chr02,174.01823096897684,1627863,230.1509560394965,227.65882195630275,25.97568193185753,19.937072665549977
chr02,177.94705255652727,1916420,231.14551294574682,229.17182018295787,20.57193302043892,15.789542102311543
chr02,188.90008145320715,2389894,230.0621532796236,229.17182018295787,9.280002022506242,7.122664773325823
chr02,193.3806893876915,2674129,233.0960605781073,232.7991710770453,3.0944993291099383,2.3751160084962066
chr02,197.68798692335153,2816714,236.4295771324823,236.2250737312105,2.1315527688670204,1.6360272101744613
chr02,209.6855204048811,2963813,233.08811593365002,232.60581782831252,5.027025738731182,3.858384842699934
chr02,212.91244646175966,3194890,234.88589445439953,232.60581782831252,23.76539272862813,18.240613008696073
chr02,220.33344671767333,3589470,237.69145096659807,237.1318039789431,5.833238365255809,4.4771759012396615
chr02,233.10078130811556,3916526,237.26984328319145,237.1318039789431,1.4387929948996114,1.1043144339867013
chr02,237.21268621996416,4097944,240.1307197577425,240.0425315675114,0.9191914652737061,0.7055055218488633
chr02,241.00120560118563,4243277,240.07282376691177,240.0425315675114,0.31573764106313384,0.24233759520302556
chr02,245.52040867459908,4520938,230.9797632861101,230.0949148291678,9.222835252095633,7.078787655538463
chr02,248.82852936929422,4753340,215.25867982424825,212.65465298894094,27.14194764724685,20.83221468245847
chr02,254.71768115211339,4857313,219.54682821603234,219.15403794296762,4.0940795552946945,3.1423221845177522
chr02,257.8436990011801,4978677,226.387322904471,226.1882532142446,2.074916831508312,1.592557521811159
chr02,261.0706250580586,5070639,222.65544213624392,222.37549665201067,2.9178906968696454,2.239563873866018
chr02,264.19893564373615,5216270,223.95289301999523,222.96282747524822,10.319520067347938,7.920524357976092
chr02,270.61799397614647,5362609,232.39647376622574,230.45206615686638,20.26669188757112,15.555260874874875
chr02,275.98027049382637,5443505,231.0227804943025,230.45206615686638,5.948594099797955,4.565714699489035
chr02,279.2071965507049,5746195,230.7654287150957,230.45206615686638,3.266199116978018,2.506900465834633
chr02,283.37191190096775,6057570,236.95953515828762,236.5679269770523,4.081758532287957,3.1328654498825017
chr02,289.4532863070526,6274186,233.2455019193194,233.0015906584686,2.5423035518776964,1.9512900868064662
chr02,294.16753952650663,6721105,235.58759332515928,233.0015906584686,26.954080519940646,20.688021333525512
