chrom,pos,beta,F,p,LOD,n
chr01,131685,-0.00016722689075630251,0.156628126919654,0.6935375251169822,0.15893003565725436,69
chr01,131821,-0.00022337662337662355,0.2725001172317244,0.6034072229412608,0.219389495512111,68
chr01,200772,2.8571428571428696e-05,0.0046642430893755575,0.9457510199125112,0.0242231816850869,70
chr01,200779,8.823529411764587e-06,0.0004354232100067039,0.9834139327846925,0.007263643016931955,69
chr01,222996,-7.812499999999993e-05,0.03196799076021808,0.8586809117795993,0.0661681912306951,64
chr01,223269,-7.812499999999993e-05,0.03196799076021808,0.8586809117795993,0.0661681912306951,64
chr01,238341,-0.0002138392857142859,0.252407098637762,0.617083108510869,0.20965634141728226,67
chr01,238503,-8.964646464646475e-05,0.044900464988160464,0.8328304431225462,0.07944340809107608,69
chr01,238526,-0.00015689149560117301,0.13003109246160618,0.7196254856801704,0.14289346442838954,64
chr01,243020,-0.00016512605042016796,0.1528427572145504,0.6970738284602037,0.15672122248323772,69
chr01,244975,0.00012663398692810474,0.09166814191195703,0.7629913346590753,0.11748039432705583,70
chr01,251624,-0.00012663398692810472,0.09166814191195703,0.7629913346590753,0.11748039432705583,70
chr01,351727,6.684491978609626e-05,0.024489483437172038,0.8761309287739724,0.057430988129690524,67
chr01,378870,4.915966386554592e-05,0.013518531120797435,0.907786982888822,0.04201604906627704,69
chr01,409030,9.5378151260504e-05,0.05052555419837816,0.8228354129086848,0.08468702555792425,69
chr01,409188,0.00013994307400379507,0.10122482672697827,0.7514169907514469,0.12411898906213285,65
chr01,412390,-0.00016452205882352914,0.14166316243385094,0.7078780801051932,0.15004153566768696,66
chr01,412674,4.761904761904968e-06,0.0001250347892940024,0.9911120558796265,0.003877241075756067,68
chr01,415635,-4.464285714284752e-07,1.065305540524136e-06,0.9991796356528154,0.00035642592869226914,67
chr01,460564,-3.781512605042036e-05,0.007998471933720127,0.9290036729018437,0.03198256897960897,69
chr01,475305,1.0513475611980649e-19,0.0,1.0,-0.0,66
chr01,476636,2.016806722689074e-05,0.002274926574198077,0.9621002612031216,0.016779667444133894,69
chr01,476659,-1.6339869281045543e-05,0.0015241920661319287,0.9689721729766865,0.013688694875139703,70
chr01,494511,-4.761904761904639e-06,0.00012503478929400239,0.9911120558796265,0.003877241075756067,68
chr01,545840,-0.00014426523297491033,0.11164393796075316,0.7393559129331473,0.13114644954421797,67
chr01,553844,0.00022635135135135119,0.29098024419031904,0.5913812564165469,0.2281324443751093,69
chr01,556600,-0.00015277777777777756,0.12686057409731366,0.722845621453551,0.1409544453193513,68
chr01,572004,9.374999999999981e-05,0.04437728646413242,0.8338440605398771,0.07891516036854415,64
chr01,572024,-9.374999999999981e-05,0.04437728646413242,0.8338440605398771,0.07891516036854415,64
chr01,592304,0.00016447368421052623,0.15376544438213202,0.6961889623341956,0.15727286648027333,70
chr01,611254,6.142506142506125e-05,0.02149292377092095,0.8838778542894781,0.053607747287011474,70
chr01,611258,-6.142506142506125e-05,0.02149292377092095,0.8838778542894781,0.053607747287011474,70
chr01,611281,6.142506142506125e-05,0.02149292377092095,0.8838778542894781,0.053607747287011474,70
chr01,611393,6.142506142506125e-05,0.02149292377092095,0.8838778542894781,0.053607747287011474,70
chr01,639463,-0.00018039215686274494,0.16099074246782374,0.6896255663230149,0.16138664638985445,64
chr01,642128,-0.00011428571428571447,0.06867888533078975,0.7941251113550105,0.10011107075838085,65
chr01,643414,3.0735930735930685e-05,0.00525051595212779,0.9424546277614508,0.025739548694741408,68
chr01,679690,4.956352788505163e-20,0.0,1.0,-0.0,70
chr01,684439,-4.956352788505163e-20,0.0,1.0,-0.0,70
chr01,684464,-4.956352788505163e-20,0.0,1.0,-0.0,70
chr01,709138,-2.9411764705882327e-05,0.0048115477145147115,0.9449085703645722,0.024610211921568828,68
chr01,722292,-6.249999999999995e-05,0.020085850813962948,0.8877570929188029,0.05170584912694861,64
chr01,732608,-7.983193277310926e-05,0.03669230136747592,0.8486722056224458,0.07126002092039148,69
chr01,764433,2.226890756302517e-05,0.0027711448787843354,0.9581740609247436,0.018555590261144443,69
chr01,855655,-0.00022857142857142862,0.2998071093965283,0.5857961339437144,0.23225349884160343,70
chr01,855789,-0.00026974789915966386,0.4094360801724686,0.5244379508015578,0.280305888249431,69
chr01,903574,-0.00037326388888888874,0.7681682227601024,0.38396326850656903,0.41571032002808156,68
chr01,906860,-0.000404040404040404,0.9240423404475359,0.3398722561594708,0.4686842855158408,69
chr01,925316,0.0005498102466793171,1.6200915062872179,0.20775623937160226,0.6824459245403975,65
chr01,954863,-0.000296551724137931,0.44211248920153007,0.5085704051891476,0.2936489159593796,64
chr01,964194,0.0006055555555555556,1.9450693092607598,0.16794131064074386,0.774842461833642,66
chr01,1021452,0.00038555743243243244,0.8620228696020501,0.35650610476571176,0.4479330289443405,69
chr01,1026340,-0.0005824324324324323,1.8481722845345094,0.17869382769585151,0.747890448299769,67
chr01,1048089,-0.0004324324324324324,1.0375638864582586,0.31216517279659606,0.5056155513247353,67
chr01,1096028,-0.0005499999999999999,1.690680501734226,0.1981029488365607,0.7031090597773806,67
chr01,1096036,-0.0005499999999999999,1.690680501734226,0.1981029488365607,0.7031090597773806,67
chr01,1125870,0.0004522804054054054,1.1579398932112865,0.2857528316667696,0.5440094572715805,69
chr01,1125872,-0.0004522804054054055,1.1579398932112865,0.2857528316667696,0.5440094572715805,69
chr01,1139517,0.0005,1.4903943377148556,0.22643426413185958,0.645057854880152,69
chr01,1164849,0.00037896825396825385,0.7497699463782828,0.3898874995002709,0.4090606888568529,64
chr01,1205428,0.00045117698343504777,1.1233980568084925,0.2930514386309382,0.5330561422641253,68
chr01,1206984,-0.0003101503759398497,0.506176212594013,0.4793840688054447,0.31931640281143814,66
chr01,1207368,0.0003458646616541353,0.6355978801709635,0.42825729418249336,0.368295231290113,66
chr01,1237179,0.00013115449915110353,0.09462109058999385,0.759336778915914,0.11956556430831045,69
chr01,1237241,-0.00012406947890818864,0.08690851089934942,0.7690429242914626,0.11404941928483082,70
chr01,1308414,0.0001381578947368422,0.09621697910594496,0.7574253824028843,0.12066014514494898,66
chr01,1310641,0.00012406947890818864,0.08690851089934942,0.7690429242914626,0.11404941928483082,70
chr01,1310850,0.00012406947890818864,0.08690851089934942,0.7690429242914626,0.11404941928483082,70
