Chromosome,cM,Position_bp,L,L0,LOD,X^2
chr01,0.0,330668,129.1037661012391,128.63593961485728,4.8761870765715125,3.742611891054594
chr01,6.813443519055584,507204,126.62937462094251,126.41053428745145,2.2809875820728225,1.7507226679284713
chr01,13.849826493811467,616767,129.32530937144554,128.63593961485728,7.185347550654495,5.514958052706106
chr01,22.279394692914096,767672,131.31269908127712,130.86882442950645,4.62653548609751,3.5509972141653634
chr01,30.01904516113331,881257,129.00735160969262,128.63593961485728,3.8712523168720274,2.971295958682731
chr01,33.41017497807136,1001444,130.78473175959897,129.51927274255195,13.189964836277628,10.123672136376172
chr01,39.32337100275807,1203334,130.0557313064427,129.51927274255195,5.591543857620016,4.29166851112609
chr01,44.65820645837664,1648833,131.9861143661003,130.86882442950645,11.645588499569973,8.938319492750907
chr01,53.94406374813128,2036829,129.47183478807568,128.63593961485728,8.712591868279574,6.687161385747231
chr01,57.07008159719798,2097688,131.22618733287806,128.63593961485728,26.998326976773924,20.721981744166214
chr01,60.34994572148864,2124190,130.45383209205585,128.63593961485728,18.948016116978515,14.543139817588553
chr01,63.86015865515107,2154055,130.88134530056234,128.63593961485728,23.404015174461538,17.963245485640527
chr01,67.3703715888135,2335415,130.30268104785176,128.63593961485728,17.372558570616558,13.333931463955878
chr01,71.59999276388767,2531976,129.08657042240554,128.63593961485728,4.696955354251625,3.60504646038612
chr01,74.63122385470942,2720987,127.6742588929973,126.41053428745148,13.171886948013892,10.109796844366542
chr01,79.05601602393915,2950455,126.56500303832534,126.41053428745148,1.6100382271441371,1.2357500069908838
chr01,82.83139364934641,3198233,133.5152273042987,131.82417848444942,17.625916106149074,13.528390558794172
chr01,90.73160610650882,3435191,131.84068027574006,131.82417848444942,0.17199928557702115,0.13201433032509158
chr01,102.72913958803836,3610153,128.7498271221427,128.63593961485728,1.1870571833226473,0.9111000582834095
chr01,107.90617353508038,3973888,130.89686978770072,130.86882442950645,0.29231866336258694,0.22436286555421248
chr01,124.49883807332631,4401863,128.71769524032342,128.63593961485728,0.8521444081078874,0.6540450037291521
chr01,127.64890016426055,4632430,128.7818399456849,128.63593961485728,1.5207290060711607,1.1672026466210355
chr01,133.0595793962722,4795494,130.92361336090732,130.86882442950645,0.5710687338426558,0.43831145120702786
chr01,138.26486991371868,5007948,131.01256592129874,130.86882442950645,1.4982272809424768,1.1499319343383831
chr01,150.60787381029496,5408064,128.74628084576685,128.63593961485728,1.1500941050505182,0.8827298472765506
chr01,153.88773793458563,5840005,129.23930413920803,129.21561142469355,0.24695076419876516,0.1895417161158548
chr01,159.77306255218423,6074641,131.5869307953926,131.49217125219675,0.9876851212229731,0.7580763455666784
chr01,165.6622143350034,6226027,131.5215264299297,130.86882442950645,6.803157050664868,5.221616003386089
chr01,174.45711869504913,6329343,129.656034882514,129.5192727425519,1.4254810252518493,1.0940971196969258
chr01,180.91770526904943,6424775,129.5492588735184,129.5192727425519,0.31254746909716424,0.23988904773204922
chr01,184.367348843397,6512377,131.0130354305134,130.86882442950645,1.5031210072096655,1.153688008055724
chr01,188.154647551295,6674047,134.1472261104292,134.13663129905888,0.11043043475836248,0.08475849096248567
chr01,192.23854910200836,6867277,132.5285945514989,131.82417848444942,7.342176261206063,5.635328536395946
chr01,196.74047445314477,6973492,128.99545016555555,128.63593961485728,3.747202760502239,2.876084405586198
chr01,199.91029028108449,7101156,128.85262885117504,128.63593961485728,2.258566550895214,1.733513890542099
chr01,207.66035936646304,7361641,126.4665948795485,126.41053428745148,0.5843233391990712,0.4484847367760949
chr01,211.29832708058444,7544100,124.27762731030886,124.19272903884767,0.8849004196492072,0.67918617168948
chr01,214.42434492965114,7644378,125.07510956070303,124.93259439289562,1.4854452231905062,1.1401213424592243
chr01,223.54042276934888,7762656,127.52512347862579,127.22203599075941,3.1591013643428827,2.4246999029310246
chr01,228.28095049499348,7899854,129.5552637970244,129.51927274255195,0.37513719252631506,0.28792843577957683
chr01,235.70195075090714,8141644,130.04998683351997,129.51927274255195,5.531668828217061,4.245712727744149
chr01,239.0925972682623,8415251,135.3412772416372,134.13663129905888,12.556106052213636,9.637167540626479
chr01,252.29696221899198,8702551,129.27272536982352,128.63593961485728,6.637260948874426,5.094286039729923
chr01,255.94458506394025,8968190,127.25494868996282,126.41053428745148,8.80138837080728,6.755315220090665
chr01,263.2301756230099,9113675,124.85684628579489,124.19272903884766,6.922138936463048,5.3129379755778245
chr01,266.86814333713136,9264698,130.91699337883355,129.51927274255192,14.568536629905967,11.181765090253066
chr01,271.61033686877636,9428307,133.32467356688292,131.8241784844494,15.639761626172337,12.003960659468248
chr01,275.3349124030198,9546613,133.71431430282118,131.82417848444942,19.70101334319702,15.121086546974084
chr01,278.56017265389795,9647290,130.49113755188833,128.63593961485728,19.33685344538116,14.841583496248404
chr01,282.7292531008505,9730453,130.88721977840166,128.63593961485728,23.46524525389378,18.010241308355035
chr01,287.4201908617332,9915345,128.95149038858975,128.63593961485728,3.2890070350155014,2.5244061898597465
chr01,293.91636553047675,10103462,135.37226861059338,134.13663129905888,12.8791311847969,9.885098492276029
chr01,297.4265784641392,10275446,133.08501523334735,131.82417848444942,13.141786623052962,10.086693991183438
chr01,300.94546306153626,10440457,133.43071741247866,131.82417848444942,16.74506379374072,12.852311424233903
chr01,305.4940519718226,10562543,134.26916075295793,131.82417848444942,25.484215381548985,19.559858148068088
chr01,309.31270091105137,10855827,130.2627955422136,128.63593961485728,16.95682925045885,13.01484741885065
chr01,322.2882606853056,11237445,129.32767733421852,128.63593961485728,7.210028986630265,5.533901754889939
chr01,327.20859851996784,11538521,129.09672575918722,128.63593961485728,4.802805115679282,3.686289154639553
chr01,333.3777948678152,11721663,126.41587001884228,126.41053428745145,0.05561468879892331,0.04268585112663459
chr01,336.8274384421628,11868199,124.81895062897404,124.19272903884769,6.527149944973276,5.0097727210107905
chr01,342.0033754589641,12082470,216.53973608720605,127.22203599075937,930.964422916232,714.5416007715735
chr01,346.2922364162441,12290492,133.6183640070522,131.82417848444942,18.70091692745023,14.353484180822306
chr01,350.7542264739668,12501022,127.55937594746187,126.41053428745145,11.974454244554318,9.19073328008335
chr01,354.8815183685495,12638901,220.80892134973612,129.5192727425519,951.5181754796877,730.3171888574739
chr01,358.84380429251235,12891533,133.26528352574826,131.82417848444942,15.020735214697057,11.528840330390722
chr01,369.1810225182669,13165503,132.10297122922915,131.82417848444942,2.9058756156600207,2.2303419582378865
chr01,373.94653150848313,13281022,126.60340472907654,126.41053428745145,2.0103016444804704,1.5429635330007159
chr01,380.40711808248346,13375708,126.61729307083245,126.41053428745147,2.155060768977311,1.654070267047814
chr01,383.4404395180033,13610164,128.64397539119952,128.63593961485728,0.08375743975784303,0.06428621073791874
chr01,391.37718833046335,13893024,128.6779640920729,128.63593961485728,0.4380239654306998,0.3361958177249562
chr01,396.83715292871295,14052682,126.58241254164743,126.41053428745145,1.791498656555423,1.3750260335677922
chr01,401.4558189352637,14225157,128.7504329985503,128.63593961485728,1.193372274055559,0.9159470695442451
chr01,412.2669743587455,14428566,128.68289500843943,128.63593961485728,0.4894192398797784,0.37564314865721826
chr01,422.0084156660629,14775669,126.48441657680357,126.41053428745145,0.7700800938240508,0.5910583148169053
chr01,449.989205062834,15185365,128.66996100081886,128.63593961485728,0.35460720455555994,0.27217108769264087
chr02,0.0,397627,122.58541444896568,119.7804224916539,29.236620692244237,22.439935658494278
chr02,129.7627353478433,639209,125.85199395504695,121.98264868213107,40.330447214539156,30.954762183327034
chr02,141.26593505578248,890524,127.43442730454878,124.19272903884769,33.788440050943784,25.933586125608713
chr02,148.71771401380687,1029163,131.0418200557294,128.63593961485728,25.07665439015343,19.247043526976995
chr02,155.28451411686123,1107857,125.40445495683556,123.31554017017224,21.772899960335756,16.71131829330659
chr02,158.67564393379928,1188710,125.37305720133857,123.31554017017224,21.445639033379923,16.460136249330617
chr02,162.2183349459015,1278167,127.25540288474441,126.41053428745145,8.806122473704136,6.758948778343665
chr02,166.50667603377275,1374406,127.20909903930355,126.41053428745145,8.323494364123334,6.388518014816782
chr02,170.28205365918,1480215,124.66019746295001,124.19274242789868,4.87231541425641,3.73964028041064
chr02,174.01823096897684,1627863,125.51676368291973,124.19274242789868,13.80036299947826,10.592170040168412
chr02,177.94705255652727,1916420,125.29511859017158,124.19272903884769,11.490280777146465,8.819116410591164
chr02,188.90008145320715,2389894,125.50588468830533,124.19272903884769,13.687110058548829,10.505245195661132
chr02,193.3806893876915,2674129,130.39489535857123,129.51927274255192,9.126673688805068,7.0049809281545095
chr02,197.68798692335153,2816714,134.420334387737,131.8241784844494,27.05990839100066,20.769247226300877
chr02,209.6855204048811,2963813,128.25557948750156,126.41053428745145,19.231030781852244,14.76036160040087
chr02,212.91244646175966,3194890,126.76511262408188,126.41053428745145,3.6957939600246528,2.8366266930433994
chr02,220.33344671767333,3589470,134.59782287158836,134.13663129905888,4.807030921196143,3.689532580235891
chr02,233.10078130811556,3916526,136.3929653671955,134.13663129905888,23.51792244292924,18.050672545092993
chr02,237.21268621996416,4097944,134.50387623281836,130.86882442950645,37.88839055065985,29.08041442649528
chr02,241.00120560118563,4243277,130.9485177628975,130.86882442950645,0.8306489984690075,0.6375466671283903
chr02,245.52040867459908,4520938,130.59671003027591,129.5192727425519,11.230201647728395,8.619498301792191
chr02,248.82852936929422,4753340,123.5699299383888,122.67676852934883,9.309481713479727,7.145291272319696
chr02,254.71768115211339,4857313,123.50412687530465,121.3178639455416,22.787566233257458,17.49010343810437
chr02,257.8436990011801,4978677,123.17798058863607,121.98264868213104,12.4590252249127,9.562655252040258
chr02,261.0706250580586,5070639,120.47162366594168,119.7804224916539,7.204436541077575,5.52960939430227
chr02,264.19893564373615,5216270,125.41464100997202,124.93259439289565,5.0244044595934705,3.85637293661091
chr02,270.61799397614647,5362609,130.01676613292963,129.51927274255195,5.185407221384846,3.979947123021475
chr02,275.98027049382637,5443505,129.943880315772,129.51927274255195,4.425713424571104,3.3968605857603507
chr02,279.2071965507049,5746195,129.6231153391866,129.51927274255195,1.0823584009184026,0.8307407730771956
chr02,283.37191190096775,6057570,129.05783650082307,128.63593961485728,4.39745974817063,3.3751750877263476
chr02,289.4532863070526,6274186,127.01950053093208,126.41053428745145,6.347296301015678,4.871729947844983
chr02,294.16753952650663,6721105,126.51455386863987,126.41053428745145,1.084203122880334,0.832156649507283
