Chromosome,cM,Position_bp,L,L0,LOD,X^2
chr01,0.0,330668,218.55331636137214,218.33387875455443,2.2872130023116464,1.7555008545416513
chr01,6.813443519055584,507204,215.16075026218135,215.14578850922797,0.15594736193409148,0.11969402362706205
chr01,13.849826493811467,616767,218.51367283384354,218.48934610887568,0.2535590979917115,0.1946137997429105
chr01,22.279394692914096,767672,221.68909849093777,221.66781440391344,0.22184547712833097,0.1702726961946155
chr01,30.01904516113331,881257,218.64154592618402,218.33387875455443,3.20683571763627,2.461337373036713
chr01,33.41017497807136,1001444,211.89201624780048,211.3013123575121,6.156946559784667,4.72563112230705
chr01,39.32337100275807,1203334,211.8458306876909,211.3013123575121,5.675551346203706,4.356146641430314
chr01,44.65820645837664,1648833,223.39222032320205,221.66781440391344,17.973599407400382,13.795247354308913
chr01,53.94406374813128,2036829,219.08696724236327,218.33387875455443,7.8494921913658295,6.024707902470709
chr01,57.07008159719798,2097688,220.00700781036366,218.33387875455443,17.439137194798683,13.385032446473815
chr01,60.34994572148864,2124190,220.12157962464687,218.33387875455443,18.63332695619489,14.301606960739491
chr01,63.86015865515107,2154055,219.73709323317198,218.40958595441802,13.836698060381874,10.620058230031646
chr01,67.3703715888135,2335415,220.22950340294707,218.40958595441802,18.969122529974722,14.559339588232433
chr01,71.59999276388767,2531976,219.88622569195442,219.859421593199,0.2793809323649987,0.2144327900434746
chr01,74.63122385470942,2720987,219.99980058130362,218.5741577295534,14.85957176831838,11.405142814001692
chr01,79.05601602393915,2950455,220.08136109044761,218.5741577295534,15.709682465817371,12.057626887153674
chr01,82.83139364934641,3198233,214.94920755950017,214.79352125787486,1.6227288408911265,1.2454904130024715
chr01,90.73160610650882,3435191,214.90869138494764,214.79352125787486,1.2004260160273845,0.9213610165822956
chr01,102.72913958803836,3610153,218.33629010431738,218.33387875455443,0.0251336615037245,0.01929079810361145
chr01,107.90617353508038,3973888,221.75803279375174,221.66781440391344,0.9403523729512684,0.7217471187063893
chr01,124.49883807332631,4401863,219.0648372657275,218.33387875455443,7.618829949664351,5.84766808938457
chr01,127.64890016426055,4632430,218.73161507095242,218.33387875455443,4.145632499140063,3.1818905311838535
chr01,133.0595793962722,4795494,222.07290799130175,221.66781440391344,4.2223178317712335,3.2407486991064616
chr01,138.26486991371868,5007948,222.31054818583573,221.66781440391344,6.699257635719789,5.141870255378308
chr01,150.60787381029496,5408064,218.70092128199664,218.33387875455443,3.8257090630073782,2.9363402195376693
chr01,153.88773793458563,5840005,215.41381148072767,214.98934053299268,4.4242893679091795,3.395767581879909
chr01,159.77306255218423,6074641,219.2340469295794,218.32988226575097,9.424169381582246,7.233317310627399
chr01,165.6622143350034,6226027,222.6688864688471,221.66781440391344,10.434241770916291,8.008576519469216
chr01,174.45711869504913,6329343,214.70880432256843,213.18321303746475,15.901341042245173,12.20473028082938
chr01,180.91770526904943,6424775,214.52389940724012,213.18321303746475,13.97406461655229,10.725490958202954
chr01,184.367348843397,6512377,222.39570232219828,221.66781440391344,7.58682495252358,5.823103346278685
chr01,188.154647551295,6674047,219.02764121051587,218.12070490301224,9.45305841087687,7.255490460029023
chr01,192.23854910200836,6867277,215.61587523116023,214.79352125787486,8.571451026457247,6.57883178628299
chr01,196.74047445314477,6973492,218.92949129919032,218.33387875455443,6.208109795705248,4.764900357087072
chr01,199.91029028108449,7101156,218.33550433126783,218.33387875455443,0.01694349591689996,0.013004613707153112
chr01,207.66035936646304,7361641,216.71092282597397,216.6599460743398,0.5313341265615612,0.40781401307322085
chr01,211.29832708058444,7544100,213.4164848534688,213.3460879191605,0.7337520027119235,0.563175474466334
chr01,214.42434492965114,7644378,206.2812886022544,206.22962660387398,0.5384764996969685,0.4132959870432842
chr01,223.54042276934888,7762656,207.8729743165494,207.68591245257758,1.9497584471399576,1.4964949117745618
chr01,228.28095049499348,7899854,215.1145488156193,215.0138515747105,1.049574145669789,0.8055779272704058
chr01,235.70195075090714,8141644,215.12114811794422,215.0138515747105,1.1183591196888614,0.8583723458698387
chr01,239.0925972682623,8415251,218.1267324453463,218.12070490301224,0.062825481002965,0.048220338672535945
chr01,252.29696221899198,8702551,219.86672555357669,219.859421593199,0.07612967251377792,0.05843168302158119
chr01,255.94458506394025,8968190,216.65349948919365,216.653208218829,0.0030359306905391277,0.0023301629171328386
chr01,263.2301756230099,9113675,213.0918411796864,213.0837302245058,0.08454103386955944,0.0648876414447841
chr01,266.86814333713136,9264698,213.27980081846812,213.1176317011562,1.690299666808499,1.2973529384953508
chr01,271.61033686877636,9428307,216.74829675382384,216.69550675057565,0.5502337706482575,0.42232002598552754
chr01,275.3349124030198,9546613,214.95120925469155,214.79352125787486,1.6435926451167906,1.2615039745335253
chr01,278.56017265389795,9647290,218.46572943097092,218.33387875455443,1.3742885088694365,1.0548054113319267
chr01,282.7292531008505,9730453,218.60332623745234,218.48934610887568,1.1880225812991627,0.911841028613253
chr01,287.4201908617332,9915345,218.6015050286055,218.48934610887568,1.1690399984372473,0.8972713578384628
chr01,293.91636553047675,10103462,218.12316947727484,218.12070490301224,0.025688424059747333,0.019716594100827933
chr01,297.4265784641392,10275446,214.80227844103462,214.79352125787486,0.09127671175918178,0.07005746527806878
chr01,300.94546306153626,10440457,215.29877097871588,214.79352125787486,5.266251977865938,4.041997766728173
chr01,305.4940519718226,10562543,214.83232327331024,214.79352125787486,0.40443602856744437,0.31041612348303715
chr01,309.31270091105137,10855827,218.43672965705542,218.33387875455443,1.0720219059587794,0.8228072200079168
chr01,322.2882606853056,11237445,218.47899480532067,218.33387875455443,1.5125544020008186,1.1609284061298695
chr01,327.20859851996784,11538521,219.6103369279403,218.11871873525143,15.54723720459057,11.93294554151089
chr01,333.3777948678152,11721663,216.18241273544763,215.50181753964756,7.093889710699967,5.44476156640053
chr01,336.8274384421628,11868199,214.46827327777225,213.88224028463858,6.108261483148787,4.688263945069366
chr01,342.0033754589641,12082470,210.75897894467693,210.3227789707773,4.546541800102728,3.4895997911969516
chr01,346.2922364162441,12290492,214.9969860164914,214.79352125787486,2.12072692629465,1.6277180689323814
chr01,350.7542264739668,12501022,216.99819984890502,216.7300449307174,2.7949968303382757,2.1452393455008405
chr01,354.8815183685495,12638901,213.58690207171247,213.18321303746475,4.207678079487296,3.2295122739817543
chr01,358.84380429251235,12891533,214.95189160673223,214.79352125787486,1.6507048465404188,1.2669627908589973
chr01,369.1810225182669,13165503,215.17865577422708,214.5749181293973,6.292798264004106,4.829901158638222
chr01,373.94653150848313,13281022,214.80706278443407,214.78350914169306,0.245501209707356,0.18842914192805438
chr01,380.40711808248346,13375708,216.95912190504967,216.9312109071915,0.29091821650106886,0.22328798286525853
chr01,383.4404395180033,13610164,220.79711733168446,220.25116434875943,5.69050482871106,4.36762386340024
chr01,391.37718833046335,13893024,219.45352398820864,218.48934610887568,10.049691181619664,7.71342303466372
chr01,396.83715292871295,14052682,217.41288545465804,216.34337157054438,11.147615476547445,8.556111072909289
chr01,401.4558189352637,14225157,220.1512362681879,219.49937911020092,6.794351200869025,5.214857263895738
chr01,412.2669743587455,14428566,219.8362497921932,219.49937911020092,3.5112258793015827,2.694965455938245
chr01,422.0084156660629,14775669,218.37151301258015,217.8744521212483,5.180899254607936,3.976487130654732
chr01,449.989205062834,15185365,220.06394097934995,220.05008789540582,0.14439162994264873,0.11082467155301856
chr02,0.0,397627,206.2305651446069,206.19461241455883,0.3747377344617277,0.2876218403846451
chr02,129.7627353478433,639209,209.9780941312209,209.76707439587818,2.1994729591686357,1.6881578827417343
chr02,141.26593505578248,890524,214.35811449203612,213.96275897106182,4.120817307579032,3.1628441677944465
chr02,148.71771401380687,1029163,219.19599688829288,219.0492457551319,1.529596976276813,1.174009065287919
chr02,155.28451411686123,1107857,210.46041342421825,210.20061033282366,2.707945175377815,2.0784247311567015
