Chromosome,cM,Position_bp,L,L0,LOD,X^2
chr01,0.0,330668,204.05511404707156,180.0906252043934,249.78348638417197,191.7159107414252
chr01,6.813443519055584,507204,178.7109726716288,177.1556383506414,16.211354714869785,12.442674567899303
chr01,13.849826493811467,616767,180.26124246413113,179.8711888797952,4.065554863768305,3.120428674687446
chr01,22.279394692914096,767672,207.08635417196916,182.81389706441007,252.99346041711067,194.17965686047273
chr01,30.01904516113331,881257,180.5514909374818,180.0906252043934,4.803634674685958,3.6869258647070637
chr01,33.41017497807136,1001444,175.6879281249208,175.51779561661098,1.7733026292315324,1.361060066478558
chr01,39.32337100275807,1203334,175.58365210931441,175.51779561661098,0.6864266730864544,0.5268519416274557
chr01,44.65820645837664,1648833,182.8227371798961,182.81389706441007,0.0921411209993688,0.07072092388830242
chr01,53.94406374813128,2036829,204.5845863198912,180.0906252043934,255.30221165792426,195.95168892398237
chr01,57.07008159719798,2097688,180.27875774588296,180.0906252043934,1.960918191248322,1.505060331916411
chr01,60.34994572148864,2124190,180.48782525135,180.0906252043934,4.140042926518968,3.1776003756526734
chr01,63.86015865515107,2154055,200.28694897179685,179.96739863160008,211.79204610006718,162.55640272157416
chr01,67.3703715888135,2335415,202.1133699365966,179.96739863160008,230.8289552195459,177.16777043997217
chr01,71.59999276388767,2531976,207.12497577801625,180.0054595309943,282.6685501912132,216.9561299761756
chr01,74.63122385470942,2720987,196.97605191155287,177.49975514399577,203.00275713744452,155.81037414045682
chr01,79.05601602393915,2950455,181.0454650797103,177.49975514399577,36.95717422824861,28.365679485716328
chr01,82.83139364934641,3198233,181.56652901267827,178.5020047121688,31.94174384087251,24.516194404075804
chr01,90.73160610650882,3435191,178.649527344535,178.5020047121688,1.5376383646194811,1.18018105892952
chr01,102.72913958803836,3610153,205.40759778759022,180.0906252043934,263.880515793079,202.53578066557452
chr01,107.90617353508038,3973888,183.01094136848815,182.81389706441007,2.0538060948378005,1.576354432624612
chr01,124.49883807332631,4401863,180.40835017155752,180.0906252043934,3.3116688000543633,2.5417997373128856
chr01,127.64890016426055,4632430,203.85641692555072,180.0906252043934,247.71245286145455,190.1263337692585
chr01,133.0595793962722,4795494,205.77679429991522,182.81389706441007,239.34382938939174,183.70317788404122
chr01,138.26486991371868,5007948,183.2492199687331,182.81389706441007,4.537400044645992,3.4825832345841263
chr01,150.60787381029496,5408064,180.19442617514486,180.0906252043934,1.0819245315253383,0.8304077660116036
chr01,153.88773793458563,5840005,178.66964606737125,178.50200471216877,1.747337172077249,1.3411308416198153
chr01,159.77306255218423,6074641,182.50066062140723,181.25031460710446,13.0324409875541,10.002768114422224
