chrom,pos,beta,F,p,LOD,n
chr01,131685,0.0009714285714285713,0.9579565673060508,0.33117161395177663,0.47994689541502106,70
chr01,131821,0.0009516806722689068,0.8896918956676416,0.34894972163062,0.4572371437898064,69
chr01,200772,-0.0006507936507936504,0.4327974003573707,0.5128083877540149,0.29004487989038424,71
chr01,200779,0.0005163398692810454,0.26938161159852647,0.6054320249514071,0.21793461031729358,70
chr01,222996,-0.0006818181818181813,0.4308224187221585,0.5139760279848847,0.2890571361733335,65
chr01,223269,-0.0006818181818181813,0.4308224187221585,0.5139760279848847,0.2890571361733335,65
chr01,238341,1.3888888888888539e-05,0.00018751365067414127,0.9891157693619311,0.004752874173705914,68
chr01,238503,0.00023259623259623246,0.05435834162600912,0.8163462924447327,0.08812557532067387,70
chr01,238526,0.00012026515151515162,0.013063509583605765,0.9093668636750425,0.041260875054234876,65
chr01,243020,0.0003080065359477122,0.09421249195482828,0.7598266201525639,0.1192854952208262,70
chr01,244975,-0.0003751987281399046,0.14302585686091027,0.7064522606284459,0.1509171808021837,71
chr01,251624,0.0003751987281399045,0.14302585686091027,0.7064522606284459,0.1509171808021837,71
chr01,351727,0.0006323529411764703,0.37824283863449043,0.5406598990860334,0.26707584098753323,68
chr01,378870,0.0005714285714285715,0.3264326432643266,0.5696509101957327,0.24439120436232684,70
chr01,409030,0.0007810457516339859,0.6156890033683359,0.4353789014262177,0.3611326208075258,70
chr01,409188,0.0007718894009216595,0.5551090404682407,0.4589650264253219,0.3382204068574711,66
chr01,412390,-0.0003092691622103386,0.09082509932164792,0.764092856614542,0.11685386044941203,67
chr01,412674,-0.0005021008403361342,0.24590596014532873,0.6215954844698759,0.20649214909282226,69
chr01,415635,-0.000655844155844156,0.4163570474447143,0.5209973039401985,0.2831645240842072,68
chr01,460564,7.1428571428571e-05,0.005064286650540365,0.9434762759127125,0.02526901586972878,70
chr01,475305,0.0005035650623885923,0.23804285406356837,0.627264990453186,0.20254895106826193,67
chr01,476636,0.0002066993464052287,0.04239710832374808,0.8374798823048305,0.07702561665999924,70
chr01,476659,0.00013275039745628005,0.017872145342480498,0.8940394413354075,0.048643321498839646,71
chr01,494511,0.0005656565656565659,0.31111088078144983,0.5788582768374624,0.23742775254457502,69
chr01,545840,6.800348735832592e-05,0.004430592938380042,0.9471310672960237,0.02358991765488849,68
chr01,553844,-0.00026809210526315826,0.07055457264347278,0.7913346751667912,0.10163980368528674,70
chr01,556600,0.00017989864864864852,0.03168230252604217,0.8592637964543737,0.06587348604450247,69
chr01,572004,-0.0007282196969696971,0.4765579299263392,0.49252105462615325,0.3075751992526454,65
chr01,572024,0.0007282196969696971,0.4765579299263392,0.49252105462615325,0.3075751992526454,65
chr01,592304,-0.00023637820512820514,0.05624646540812789,0.8132327916293447,0.08978511781492393,71
chr01,611254,-0.0009768740031897926,0.9781373441359122,0.32611466274688217,0.48662967403396745,71
chr01,611258,0.0009768740031897928,0.9781373441359122,0.32611466274688217,0.48662967403396745,71
chr01,611281,-0.0009768740031897926,0.9781373441359122,0.32611466274688217,0.48662967403396745,71
chr01,611393,-0.0009768740031897926,0.9781373441359122,0.32611466274688217,0.48662967403396745,71
chr01,639463,-0.0015904761904761912,2.376737821972634,0.1281628395042588,0.892237879167375,65
chr01,642128,-0.0013666666666666666,1.7783018218182933,0.18708485973458133,0.7279613573411476,66
chr01,643414,-0.0015984848484848486,2.554945897355298,0.11465533618967282,0.9406057279048279,69
chr01,679690,0.0017722222222222223,3.344048203273346,0.07177046231278089,1.1440542562305098,71
chr01,684439,-0.0017722222222222223,3.344048203273346,0.07177046231278089,1.1440542562305098,71
chr01,684464,-0.0017722222222222223,3.344048203273346,0.07177046231278089,1.1440542562305098,71
