Chromosome,cM,Position_bp,L,L0,LOD,X^2
chr01,0.0,330668,193.29507911169625,193.0316635256111,2.745598451618296,2.107324688681274
chr01,6.813443519055584,507204,190.15706447745146,189.88247616140237,2.8620525709254268,2.196706528392724
chr01,13.849826493811467,616767,193.2846371751765,192.9613197979062,3.3699588684460045,2.5865390181622843
chr01,22.279394692914096,767672,196.6505232336801,196.10609831596813,5.674577701750662,4.355399341695829
chr01,30.01904516113331,881257,193.2930787278335,193.0316635256111,2.7247483154594097,2.0913216177791583
chr01,33.41017497807136,1001444,187.75929833017045,187.60352402205774,1.6236461384555405,1.2461944649016914
chr01,39.32337100275807,1203334,188.6898081123312,187.60352402205774,11.322412468441444,8.690272722187729
chr01,44.65820645837664,1648833,196.17851103363395,196.10609831596813,0.7547626488452841,0.579301741326617
chr01,53.94406374813128,2036829,193.2404847206856,193.0316635256111,2.1765574254072133,1.67056956059605
chr01,57.07008159719798,2097688,193.20917811333365,193.0316635256111,1.8502465417256775,1.4201167017804437
chr01,60.34994572148864,2124190,193.25715673901007,193.0316635256111,2.3503309988593934,1.803945707191815
chr01,63.86015865515107,2154055,193.51932573652925,192.76910407915906,7.819611024004454,6.001773258961521
chr01,67.3703715888135,2335415,193.38820575058372,192.76910407915906,6.452938551283424,4.952813371397269
chr01,71.59999276388767,2531976,193.9638364724374,193.0316635256111,9.716101607667865,7.457383574610503
chr01,74.63122385470942,2720987,189.84108724019853,189.71082209027523,1.3577624591037738,1.042121199386429
chr01,79.05601602393915,2950455,189.7400927678549,189.71082209027523,0.3050902501059766,0.2341654206372823
chr01,82.83139364934641,3198233,190.8999479105774,190.88350756530127,0.17135882961611087,0.13152276220898784
chr01,90.73160610650882,3435191,190.98782241233087,190.88350756530127,1.0872806986928791,0.8345187762367914
chr01,102.72913958803836,3610153,193.847392856325,193.0316635256111,8.502401929336383,6.525834645711257
chr01,107.90617353508038,3973888,196.7330342551318,196.10609831596813,6.534595653254779,5.015487513309381
chr01,124.49883807332631,4401863,194.2027400383305,193.0316635256111,12.206209616652878,9.368612101755161
chr01,127.64890016426055,4632430,194.89954712109815,193.0316635256111,19.469076920583237,14.943068763896463
chr01,133.0595793962722,4795494,197.42587881542264,196.10609831596813,13.756161317678668,10.558243995636076
chr01,138.26486991371868,5007948,197.04366810538002,196.10609831596813,9.772353262578722,7.500558315295166
chr01,150.60787381029496,5408064,193.03360183606216,193.0316635256111,0.020203140794727337,0.015506483608533017
chr01,153.88773793458563,5840005,189.73055730767203,189.72932899850076,0.01280274948366298,0.009826473370139865
chr01,159.77306255218423,6074641,192.8256818244732,192.8033122637855,0.23315944246250792,0.17895648550165788
chr01,165.6622143350034,6226027,196.18188387361857,196.10609831596813,0.7899179878932108,0.606284461203586
chr01,174.45711869504913,6329343,190.5974505210035,190.4247483372124,1.8000865303948084,1.3816174703288198
chr01,180.91770526904943,6424775,190.70857558529843,190.4247483372124,2.958350583781122,2.270617984688215
chr01,184.367348843397,6512377,196.34512564647406,196.10609831596813,2.491398015907005,1.9122186440474707
chr01,188.154647551295,6674047,194.40313731242085,193.9794310452565,4.416319050655385,3.389650137314902
chr01,192.23854910200836,6867277,191.0811912069293,190.88350756530127,2.0604699533182633,1.5814691330242567
chr01,196.74047445314477,6973492,193.08371005911667,193.0316635256111,0.5424845352879306,0.41637226804459715
chr01,199.91029028108449,7101156,193.03234938503215,193.0316635256111,0.0071487590862041985,0.005486875368433175
chr01,207.66035936646304,7361641,190.110408413755,189.5613794632643,5.7225658464779565,4.392231603925666
chr01,211.29832708058444,7544100,186.72467276427298,186.48979766539506,2.4481190250998877,1.8790007910233726
chr01,214.42434492965114,7644378,181.4439345329895,181.42032423078368,0.24609177513723793,0.18888241764648228
chr01,223.54042276934888,7762656,185.1739839005439,184.7470603419752,4.449853096341148,3.4153884685495086
chr01,228.28095049499348,7899854,188.035741429844,187.54905791821767,5.072735124782636,3.893468093010597
chr01,235.70195075090714,8141644,188.02590305415728,187.54905791821767,4.970189070263512,3.8147610875168994
chr01,239.0925972682623,8415251,194.32662453332844,193.9794310452565,3.6188211845373854,2.777547904575613
chr01,252.29696221899198,8702551,193.36348343656155,193.0316635256111,3.4585813514738906,2.6545592876036608
chr01,255.94458506394025,8968190,190.5360917315715,189.88247616140237,6.812679249852094,5.228924561353097
chr01,263.2301756230099,9113675,187.00457551909935,186.9893121540196,0.15909108550596093,0.12210692063808892
chr01,266.86814333713136,9264698,187.78765193077936,187.72442382735133,0.6590307940800475,0.5058248274242487
chr01,271.61033686877636,9428307,190.66040939358143,190.63986571992558,0.21412809856217585,0.16434938924680864
chr01,275.3349124030198,9546613,190.89161628765697,190.88350756530127,0.0845177609847913,0.06486977884560474
chr01,278.56017265389795,9647290,193.05038122197664,193.0316635256111,0.19509581389188818,0.14974157092433416
chr01,282.7292531008505,9730453,192.96379104726606,192.9613197979062,0.025757999049281017,0.01976999487874309
chr01,287.4201908617332,9915345,192.98186749028923,192.9613197979062,0.21416998602697523,0.1643815390641521
chr01,293.91636553047675,10103462,194.88239765470348,193.9794310452565,9.411681979817212,7.223732875575934
chr01,297.4265784641392,10275446,190.8966783621929,190.88350756530127,0.13728010589512132,0.1053663751329168
chr01,300.94546306153626,10440457,190.88623835861455,190.88350756530127,0.0284632432121784,0.021846346506208647
chr01,305.4940519718226,10562543,190.96177491132548,190.88350756530127,0.815785835796593,0.6261387681936412
chr01,309.31270091105137,10855827,193.21170448726858,193.0316635256111,1.87657910794559,1.44032769325986
chr01,322.2882606853056,11237445,193.03483355985176,193.0316635256111,0.03304148107599518,0.02536027392534379
chr01,327.20859851996784,11538521,193.6263888730418,193.21035696458858,4.3363286912859,3.3282552676257637
chr01,333.3777948678152,11721663,190.3332509441982,189.87893409272522,4.735375239129001,3.634534811783851
chr01,336.8274384421628,11868199,186.95030829058808,186.6404394563454,3.2297837958093263,2.4789506739414264
chr01,342.0033754589641,12082470,184.53872026019454,184.4635136129325,0.7838839658003129,0.601653178096285
chr01,346.2922364162441,12290492,191.30217745812615,190.88350756530127,4.363824580628911,3.3493591425990417
chr01,350.7542264739668,12501022,193.05969527624273,192.46244221425422,6.2252090189143425,4.778024495908085
chr01,354.8815183685495,12638901,191.3150658256964,190.4247483372124,9.27983933737338,7.1225399078718965
chr01,358.84380429251235,12891533,191.50314418952505,190.88350756530127,6.4585144004530415,4.957092993790184
chr01,369.1810225182669,13165503,191.36733932273975,191.0609873850922,3.1931269449767834,2.4508155011803865
chr01,373.94653150848313,13281022,190.23478907551512,190.1465265723957,0.9199660335297708,0.7061000249555036
chr01,380.40711808248346,13375708,189.71093184890006,189.71082209027526,0.0011440215622295002,0.0008780689984178025
chr01,383.4404395180033,13610164,264.7014451464329,192.78013874225795,749.6406360625483,575.3704512333995
chr01,391.37718833046335,13893024,192.97931204325823,192.9613197979062,0.18753438896235236,0.14393796281615323
chr01,396.83715292871295,14052682,190.57166547479704,190.27933637852902,3.046965921815172,2.3386327701441587
chr01,401.4558189352637,14225157,193.72834955829455,193.43608304406024,3.0463136250494527,2.338132113874508
chr01,412.2669743587455,14428566,193.6387997725402,193.43608304406024,2.11293015763994,1.621733827839762
chr01,422.0084156660629,14775669,192.88553887879718,192.87965473442756,0.06133083433071897,0.04707315495693365
chr01,449.989205062834,15185365,195.97935750637743,195.57826763968532,4.180586780440596,3.2087189335368294
chr02,0.0,397627,181.38168457196056,180.8323459261286,5.725793821944665,4.39470916665573
chr02,129.7627353478433,639209,183.7684273494743,183.7044595360497,0.6667408413532604,0.5117425073967752
chr02,141.26593505578248,890524,186.63085391372434,186.5916021247968,0.40912404806552316,0.3140143114203511
chr02,148.71771401380687,1029163,192.84151405531935,192.77547679751694,0.6883107999265841,0.5282980624192533
chr02,155.28451411686123,1107857,186.66159777320038,186.6358521049617,0.2683488395751918,0.20596534590936244
chr02,158.67564393379928,1188710,186.71714856944124,186.6358521049617,0.8473585421207981,0.6503717158361724
chr02,162.2183349459015,1278167,189.953835851401,189.88247616140237,0.7437868703217079,0.5708775199891534
chr02,166.50667603377275,1374406,190.18298973783124,189.88247616140237,3.13227331152166,2.4041086114309564
chr02,170.28205365918,1480215,184.9894359849363,184.64900591305584,3.5483256405986885,2.7234405750436963
chr02,174.01823096897684,1627863,184.6497404885622,184.64900591305584,0.007656530134849138,0.005876604050854439
chr02,177.94705255652727,1916420,186.9176878416441,186.84139065523357,0.7952507290280679,0.6103774912842255
chr02,188.90008145320715,2389894,186.89556946225514,186.84139065523357,0.5647093662136731,0.43343045617257303
chr02,193.3806893876915,2674129,187.77794052279424,187.54905791821767,2.3856588521099473,1.8310608366125507
chr02,197.68798692335153,2816714,190.67368351974613,190.63986571992558,0.35248521245220676,0.2705423985644302
chr02,209.6855204048811,2963813,190.11959455568442,189.83432134803127,2.9734219180464656,2.282185661225185
chr02,212.91244646175966,3194890,190.11676533385156,189.83432134803127,2.9439327477243316,2.259551886562349
chr02,220.33344671767333,3589470,194.00619308918365,193.9794310452565,0.27894259204847266,0.21409635141731087
chr02,233.10078130811556,3916526,194.2808314831696,193.9794310452565,3.141517128693364,2.4112035033049324
chr02,237.21268621996416,4097944,196.34107258193927,196.10609831596813,2.4491526504128647,1.8797941277691734
chr02,241.00120560118563,4243277,196.20084646078462,196.10609831596813,0.9875663151449459,0.7579851585319375
chr02,245.52040867459908,4520938,187.5829277097145,187.54784097504967,0.36571140607068947,0.28069387731875395
chr02,248.82852936929422,4753340,172.50328496271453,172.01573877352538,5.08172687130732,3.9003695135131693
chr02,254.71768115211339,4857313,177.94029624831205,177.50330719138228,4.554766465840975,3.4959124554382015
chr02,257.8436990011801,4978677,184.1373145887573,183.49263174780862,6.719572809641465,5.157462727589518
chr02,261.0706250580586,5070639,181.4415152288562,180.60965545244846,8.670530654667552,6.654878211261803
chr02,264.19893564373615,5216270,183.2342762202685,181.7457731662755,15.514767903487002,11.908024431943886
chr02,270.61799397614647,5362609,188.83593337657896,187.7970312857947,10.828546686368547,8.311216726274097
chr02,275.98027049382637,5443505,188.91497694572735,187.7970312857947,11.65242314823448,8.943565279461154
chr02,279.2071965507049,5746195,188.95600135599196,187.7970312857947,12.080023348264625,9.271760561578049
chr02,283.37191190096775,6057570,193.05482468733695,193.0316635256111,0.2414103535681543,0.18528929380681802
chr02,289.4532863070526,6274186,189.75217722802083,189.72932899850076,0.23814864004375638,0.18278583616051947
chr02,294.16753952650663,6721105,189.76911078538612,189.72932899850076,0.41464825258947546,0.31825429508285197
chr02,300.6104638727631,7139803,189.79010210933126,189.63836172058646,1.581600324329285,1.2139231099583867
chr02,306.86862102046337,7351837,186.86721044272383,186.564718844678,3.1528903644816433,2.419932784366665
chr02,310.122876949572,7561355,193.402283561082,193.0316635256111,3.8629976709071063,2.964960283767141
chr02,313.4574456745056,7905741,193.34924515647208,193.0316635256111,3.310174796082274,2.5406530468878827
chr02,317.84133675114515,8170986,185.6297735514969,185.61944447501898,0.1076606620203746,0.08263261182332826
chr02,321.9252383018585,8234803,185.61949304780583,185.61944447501898,0.0005062774392139567,0.00038858229481775197
chr02,325.5016106894344,8274366,196.2013424195373,196.10609831596813,0.9927357267339172,0.7619528285533761
chr02,329.41549554047816,8454515,189.7693433720276,189.76902112045212,0.003358849944403669,0.0025780126038625895
