Chromosome,cM,Position_bp,L,L0,LOD,X^2
chr01,0.0,330668,293.85348557835306,293.0643551522044,8.22515974987949,6.313043409189049
chr01,6.813443519055584,507204,289.1840765848426,289.1353726331715,0.5076445789832531,0.38963161336869234
chr01,13.849826493811467,616767,294.2424937508708,293.6193530671715,6.4950374491202165,4.985125469594095
chr01,22.279394692914096,767672,297.7256130794321,297.53232631398873,2.0146410157675128,1.5462941235468861
chr01,30.01904516113331,881257,293.44977588951207,293.0643551522044,4.017266386170986,3.0833658984611247
chr01,33.41017497807136,1001444,285.8466573460466,285.06319041161174,8.166128793089001,6.26773547547873
chr01,39.32337100275807,1203334,286.66575324102587,285.06319041161174,16.703620649227606,12.820502635313005
chr01,44.65820645837664,1648833,297.5364517722503,297.53232631398873,0.04299993019972142,0.03300366609255434
chr01,53.94406374813128,2036829,293.0718111560793,293.0643551522044,0.07771443215796452,0.059648030999142065
chr01,57.07008159719798,2097688,293.0705155925132,293.0643551522044,0.0642106855723984,0.04928352246997747
chr01,60.34994572148864,2124190,293.0649110945285,293.0643551522044,0.0057946244063990515,0.004447538592557976
chr01,63.86015865515107,2154055,293.60036872331085,293.28284859940163,3.3095337049682527,2.5401609912737513
chr01,67.3703715888135,2335415,293.28995976261655,293.28284859940163,0.07412013465962802,0.0568893057193236
chr01,71.59999276388767,2531976,293.05289332268563,293.03411798572597,0.19569660569894476,0.15020269567730793
chr01,74.63122385470942,2720987,289.0436941953467,288.56024371243075,5.039037048092536,3.867603863327531
chr01,79.05601602393915,2950455,290.4010781373741,288.56024371243075,19.18714158841065,14.72667539954682
chr01,82.83139364934641,3198233,289.78717688201885,289.556251112886,2.4069548943278916,1.8474061530628205
chr01,90.73160610650882,3435191,289.8295066239316,289.556251112886,2.848160654322073,2.1860440883647243
chr01,102.72913958803836,3610153,293.143606164481,293.0643551522044,0.8260386556072374,0.6340080982126892
chr01,107.90617353508038,3973888,297.6107688113779,297.53232631398873,0.8176114503079046,0.6275399791134078
chr01,124.49883807332631,4401863,294.47362734356165,293.0643551522044,14.688939268947436,11.274177530857742
chr01,127.64890016426055,4632430,293.81085008816535,293.0643551522044,7.780767154957225,5.9719594876874
chr01,133.0595793962722,4795494,297.9210705198143,297.53232631398873,4.051907123085665,3.109953646604481
chr01,138.26486991371868,5007948,297.92844268688975,297.53232631398873,4.128747718618645,3.1689309832081562
chr01,150.60787381029496,5408064,293.2286670940883,293.0643551522044,1.712634472103157,1.3144955350708187
chr01,153.88773793458563,5840005,290.8335171961887,290.82762438639753,0.06142115460527986,0.04714247832953333
chr01,159.77306255218423,6074641,295.37530327687983,295.2819005218828,0.9735432261546595,0.7472220399763501
chr01,165.6622143350034,6226027,297.5768021662394,297.53232631398873,0.4635748130499985,0.3558068180054761
chr01,174.45711869504913,6329343,284.9018226288739,284.89415740622536,0.07989513357170581,0.061321781188325986
chr01,180.91770526904943,6424775,285.8315114486097,284.89415740622536,9.77010451673359,7.498832339074852
chr01,184.367348843397,6512377,297.6143664533335,297.53232631398873,0.8551099154881753,0.6563211147581569
chr01,188.154647551295,6674047,294.04627191701354,294.0462085545432,0.0006604313092124694,0.0005068997625130578
chr01,192.23854910200836,6867277,289.55738635641615,289.556251112886,0.011832720018182166,0.009081948241146165
chr01,196.74047445314477,6973492,293.08081370827887,293.0643551522044,0.17154864199738798,0.1316684485955193
chr01,199.91029028108449,7101156,293.13790006414297,293.0643551522044,0.7665635862472517,0.5883592955083259
chr01,207.66035936646304,7361641,288.5128001749862,288.32707912331205,1.9357830699683038,1.4857684133930888
chr01,211.29832708058444,7544100,284.0105369932154,283.8706284451145,1.4582762498715036,1.1192683848071283
chr01,214.42434492965114,7644378,275.82478735045265,275.60213576383694,2.320712530900978,1.781212692925692
chr01,223.54042276934888,7762656,280.1153131695944,280.075527520729,0.41468850626845055,0.31828519092323404
chr01,228.28095049499348,7899854,285.15590346629693,285.0631904116118,0.9663544332035597,0.7417044374810757
chr01,235.70195075090714,8141644,285.65490024267314,285.0631904116118,6.167431548428255,4.733678648490695
chr01,239.0925972682623,8415251,294.08625200433283,294.0462085545432,0.4173755827199117,0.32034759831685733
chr01,252.29696221899198,8702551,294.76467624616487,293.03411798572597,18.037725674896887,13.844466083511179
chr01,255.94458506394025,8968190,290.7708536975824,289.13227437275145,17.07902301443632,13.108634598647768
chr01,263.2301756230099,9113675,285.1329894345348,284.3933558935285,7.709250371750354,5.917068328050391
chr01,266.86814333713136,9264698,285.36617983881155,284.81372519471785,5.758272082361253,4.419637152749601
chr01,271.61033686877636,9428307,292.1072449654555,289.55625111288606,26.58918128496054,20.40795082055547
chr01,275.3349124030198,9546613,292.4195390017725,289.556251112886,29.844243125851378,22.906303111091802
chr01,278.56017265389795,9647290,296.3413381990476,293.0643551522044,34.156215708827716,26.21586437474525
