chrom,pos,beta,F,p,LOD,n
chr01,131685,0.006085714285714286,1.7408143043834496,0.1914610230333455,0.7179196248517097,70
chr01,131821,0.0064390756302520995,1.9035246079304193,0.17227161611407926,0.7637862720614595,69
chr01,200772,-0.005751984126984124,1.5913963983018093,0.21137490202043274,0.6749465807046466,71
chr01,200779,0.005577614379084967,1.4550860168083741,0.2318937395161118,0.6347109759428994,70
chr01,222996,-0.005684185606060606,1.683617286704323,0.19917564630333817,0.7007637649216872,65
chr01,223269,-0.005684185606060606,1.683617286704323,0.19917564630333817,0.7007637649216872,65
chr01,238341,0.005196180555555554,1.1912684026561486,0.27904229998749275,0.5543299570895567,68
chr01,238503,0.005076986076986079,1.1981980823158516,0.277544284225999,0.5566677121428535,70
chr01,238526,0.0046496212121212134,1.0293444401294085,0.31419337821314725,0.5028029721789061,65
chr01,243020,0.005577614379084966,1.4550860168083743,0.2318937395161118,0.6347109759428994,70
chr01,244975,-0.005261923688394277,1.3246402462791667,0.2537338282338917,0.5956216280249161,71
chr01,251624,0.005261923688394278,1.3246402462791669,0.2537338282338917,0.5956216280249161,71
chr01,351727,0.006264705882352942,1.7520955077579878,0.19018021421813644,0.7208346677501061,68
chr01,378870,0.006085714285714285,1.7408143043834479,0.1914610230333455,0.7179196248517097,70
chr01,409030,0.005577614379084967,1.4550860168083743,0.2318937395161118,0.6347109759428994,70
chr01,409188,0.005320737327188938,1.1839224698507966,0.28063952259428643,0.5518511671069675,66
chr01,412390,-0.00536675579322638,1.294017154342483,0.2594848758650396,0.585887950030442,67
chr01,412674,-0.006439075630252097,1.9035246079304184,0.17227161611407926,0.7637862720614595,69
chr01,415635,-0.006813852813852815,2.0809859807217714,0.15387293628527166,0.8128377586970461,68
chr01,460564,0.0036857142857142852,0.6283318711339632,0.4307247790082529,0.3658001431503291,70
chr01,475305,-0.0035717468805704115,0.5445785470215975,0.4631973701385892,0.3342339150352428,67
chr01,476636,-0.003175653594771242,0.4649671741335844,0.4976276978103732,0.303095454942169,70
chr01,476659,-0.002891494435612083,0.3947047840823143,0.5319107469617476,0.27416123491154365,71
chr01,494511,-0.0029532828282828275,0.390977097626119,0.5339102429067704,0.2725317472536892,69
chr01,545840,-0.0007624237140366168,0.027005530140718704,0.8699707832677874,0.06049533229936099,68
chr01,553844,0.0021636513157894726,0.21364148171165925,0.645403612620164,0.19016860797981852,70
chr01,556600,-0.0024328547297297297,0.2639303545209111,0.6091228942718897,0.21529507695713682,69
chr01,572004,0.0036728219696969704,0.5454424985615158,0.46292842615982066,0.3344861505083727,65
chr01,572024,-0.0036728219696969704,0.5454424985615158,0.46292842615982066,0.3344861505083727,65
chr01,592304,0.0019082532051282082,0.16999063576998436,0.6813983175109595,0.16659894311420578,71
chr01,611254,-3.468899521531081e-05,5.6305538643846246e-05,0.9940346214261103,0.0025984892118735667,71
chr01,611258,3.468899521531121e-05,5.6305538643846246e-05,0.9940346214261103,0.0025984892118735667,71
chr01,611281,-3.468899521531081e-05,5.6305538643846246e-05,0.9940346214261103,0.0025984892118735667,71
chr01,611393,-3.468899521531081e-05,5.6305538643846246e-05,0.9940346214261103,0.0025984892118735667,71
chr01,639463,-0.0027642857142857135,0.3060562896972451,0.5820683197347911,0.235026037442104,65
