Chromosome,cM,Position_bp,L,L0,LOD,X^2
chr01,0.0,330668,300.9868098603024,300.31589115519444,6.993030994417545,5.367349640863722
chr01,6.813443519055584,507204,295.6449242371205,295.62068514474305,0.2526456975809404,0.19391273901965178
chr01,13.849826493811467,616767,300.4089932024321,300.3158911551944,0.970408928861718,0.7448163779017705
chr01,22.279394692914096,767672,307.79792401090896,305.0190244000455,28.96465840226614,22.231196886907583
chr01,30.01904516113331,881257,300.7150011499268,300.31589115519444,4.159950441233052,3.192879957859077
chr01,33.41017497807136,1001444,293.29989669313454,293.0049011552653,3.074758422784485,2.359964302953813
chr01,39.32337100275807,1203334,293.6207628919132,293.0049011552653,6.419168492196886,4.926893893183205
chr01,44.65820645837664,1648833,305.0438736506404,305.0190244000455,0.25900541790722903,0.19879400475929287
chr01,53.94406374813128,2036829,302.0750462550927,300.31589115519444,18.335792464746433,14.073240799185896
chr01,57.07008159719798,2097688,300.5367706095954,300.31589115519444,2.3022414770914335,1.767035635207776
chr01,60.34994572148864,2124190,300.8760174230429,300.31589115519444,5.838233935095873,4.481010142787909
chr01,63.86015865515107,2154055,304.6254171707605,300.3158911551944,44.918480836292964,34.476208124528966
chr01,67.3703715888135,2335415,300.82847509262456,300.3158911551944,5.342697012916043,4.100671499441432
chr01,71.59999276388767,2531976,302.62673109944757,300.4415362106071,22.77643397055825,17.481559110723538
chr01,74.63122385470942,2720987,295.73429679912397,295.61393665816826,1.2545218813959078,0.9628811276456872
chr01,79.05601602393915,2950455,353.8395453301523,295.61393665816826,606.8894532408192,465.8048693758724
chr01,82.83139364934641,3198233,297.885640765305,297.880099025066,0.057761932942940006,0.04433392191231178
chr01,90.73160610650882,3435191,297.92167552552826,297.880099025066,0.4333546734626836,0.33261200369815924
chr01,102.72913958803836,3610153,300.3403792277845,300.31589115519444,0.2552408351597204,0.1959045807207076
chr01,107.90617353508038,3973888,305.08351775313037,305.0190244000455,0.6722185767405862,0.5159468246788492
chr01,124.49883807332631,4401863,302.31531016864335,300.31589115519444,20.840079469279374,15.995352107591316
chr01,127.64890016426055,4632430,300.5541596708019,300.31589115519444,2.483488836950207,1.9061481248595555
chr01,133.0595793962722,4795494,305.2187941669638,305.0190244000455,2.082213778168985,1.5981581353462389
chr01,138.26486991371868,5007948,306.84715606240763,305.0190244000455,19.054739835755747,14.625053298897
chr01,150.60787381029496,5408064,301.95294413896966,300.31589115519444,17.06311385848396,13.096423870201761
chr01,153.88773793458563,5840005,297.5303300636737,296.18934373107584,13.9771911493185,10.727890660783032
chr01,159.77306255218423,6074641,302.2170972551356,300.88493276658136,13.885240472798086,10.657315908434157
chr01,165.6622143350034,6226027,305.25338887060457,305.0190244000455,2.4427967116314213,1.8749157644724619
