Chromosome,cM,Position_bp,L,L0,LOD,X^2
chr01,0.0,330668,610.7266129137831,540.9198886650136,727.6002033835811,558.4537939901566
chr01,6.813443519055584,507204,604.4033148371992,533.562473324485,738.3788774965097,566.7267321017134
chr01,13.849826493811467,616767,596.130512379255,541.0617237382555,573.9857047651815,440.5503091279961
chr01,22.279394692914096,767672,620.9827954912324,548.4157384001986,756.3713391022612,580.5364567282704
chr01,30.01904516113331,881257,614.8316335205716,540.9198886650136,770.3871105266378,591.2939588444642
chr01,33.41017497807136,1001444,585.2908571449054,525.5528446370363,622.6533406088402,477.90410006295315
chr01,39.32337100275807,1203334,604.3917973879619,525.5528446370363,821.7437313301966,630.7116220074049
chr01,44.65820645837664,1648833,609.0977579071725,548.4157384001986,632.4927893429822,485.4561560557913
chr01,53.94406374813128,2036829,614.4497366025867,540.9198886650136,766.4065731473567,588.2387835005848
chr01,57.07008159719798,2097688,619.0370160162547,540.9198886650136,814.2200964186627,624.9370188099292
chr01,60.34994572148864,2124190,593.166000158807,540.9198886650136,544.5647501437576,417.9688919503478
chr01,63.86015865515107,2154055,611.4443155138528,540.3440203269832,741.0831806723943,568.8023614949561
chr01,67.3703715888135,2335415,602.4143144630293,540.3440203269832,646.9628696015179,496.5623530883686
chr01,71.59999276388767,2531976,597.8446395809581,539.8521556423102,604.4595783940254,463.9398715091829
chr01,74.63122385470942,2720987,599.1136236162602,532.3654611660036,695.7206071038785,533.9852996020527
chr01,79.05601602393915,2950455,592.5105452924463,532.3654611660036,626.8962755933026,481.1606730115418
chr01,82.83139364934641,3198233,593.7510545771291,532.8934726225374,634.3226885964987,486.860655636734
chr01,90.73160610650882,3435191,597.1917213045907,532.8934726225374,670.184990367811,514.3859894564266
chr01,102.72913958803836,3610153,600.7820710587079,540.9198886650136,623.9475717184182,478.8974591495544
chr01,107.90617353508038,3973888,600.9987436698871,548.4157384001986,548.0762167323672,420.66404215750754
chr01,124.49883807332631,4401863,595.7631608805827,540.9198886650136,571.6351318257509,438.7461777245535
chr01,127.64890016426055,4632430,598.7671304118799,540.9198886650136,602.945709215699,462.7779339749304
chr01,133.0595793962722,4795494,602.0824442446508,548.4157384001986,559.3717010440937,429.33364675561734
chr01,138.26486991371868,5007948,614.9873789088613,548.4157384001986,693.8807069798203,532.5731240693012
chr01,150.60787381029496,5408064,606.373032593489,540.9198886650136,682.2225415525494,523.6251514278038
chr01,153.88773793458563,5840005,592.0739106887786,533.0191956436502,615.5312849872373,472.43772036102746
chr01,159.77306255218423,6074641,595.9093511509758,540.505756901578,577.4754062428844,443.22875399518216
chr01,165.6622143350034,6226027,620.4162537323975,548.4157384001986,750.4662360711471,576.0041226575913
chr01,174.45711869504913,6329343,580.9364292535811,525.2096948537943,580.8435178635724,445.8138751982942
chr01,180.91770526904943,6424775,580.5064437364274,525.2096948537943,576.3617497660166,442.37399106106477
chr01,184.367348843397,6512377,598.9774814842439,548.4157384001986,527.0084644034581,404.493944672362
chr01,188.154647551295,6674047,605.2131353790817,540.3778430075594,675.7826330288673,518.6823389721785
chr01,192.23854910200836,6867277,583.8938884885584,532.8934726225374,531.580780449216,408.00332692816846
chr01,196.74047445314477,6973492,594.3576383409753,540.9198886650136,556.9852754303392,427.50199740769403
chr01,199.91029028108449,7101156,615.7207046601013,540.9198886650136,779.6539590846505,598.4065279607021
chr01,207.66035936646304,7361641,608.2552073442989,533.500051710297,779.1780380559792,598.041245072015
chr01,211.29832708058444,7544100,593.5870499492303,525.9956678264949,704.5095427228335,540.7310569818828
chr01,214.42434492965114,7644378,573.9814374282768,510.32091539644574,663.5379224041104,509.2841762546482
chr01,223.54042276934888,7762656,575.3795409997563,517.8085603824477,600.0662207965484,460.5678449384686
chr01,228.28095049499348,7899854,595.4176704592127,524.3616784228842,740.6214059409325,568.4479362906277
chr01,235.70195075090714,8141644,604.2208676810867,524.3616784228842,832.3777253785148,638.8735140656199
chr01,239.0925972682623,8415251,610.5227947099206,540.3778430075594,731.1255709849344,561.15961361889
chr01,252.29696221899198,8702551,596.7986121607038,539.8521556423102,593.556763917163,455.5716521471486
chr01,255.94458506394025,8968190,585.8780903036029,532.512155851741,556.2367404973022,426.92747561489523
chr01,263.2301756230099,9113675,576.1642461713152,524.8419006069333,534.936275446629,410.5787645150549
chr01,266.86814333713136,9264698,581.3252576028825,525.2590645173535,584.3817186808197,448.52954468423195
chr01,271.61033686877636,9428307,599.7501776177464,532.9074263987936,696.7065122309534,534.7420097516224
chr01,275.3349124030198,9546613,590.064998023282,532.8934726225374,595.9026720848394,457.3722032059568
chr01,278.56017265389795,9647290,618.7570358117615,540.9198886650136,811.3018438301777,622.6971771739836
chr01,282.7292531008505,9730453,613.003411334217,541.0617237382555,749.853070601609,575.5335007676922
chr01,287.4201908617332,9915345,619.8828572634185,541.0617237382555,821.5580003361044,630.5690682013037
chr01,293.91636553047675,10103462,620.1354731352818,540.3778430075594,831.3191676996097,638.0610410217796
chr01,297.4265784641392,10275446,601.6957027772916,532.8934726225374,717.130293572334,550.4178412380334
chr01,300.94546306153626,10440457,584.1112953011486,532.8934726225374,533.8468263460821,409.74258142888993
chr01,305.4940519718226,10562543,608.3397668688109,532.8934726225374,786.3818225089354,603.5703539701881
chr01,309.31270091105137,10855827,602.8330547253064,540.9198886650136,645.3251130514768,495.3053284823427
chr01,322.2882606853056,11237445,592.6702787968916,540.9198886650136,539.3978128947629,414.00312105502417
